name,original_Pincode,lat,lon,county,state,state_code,country
Dabhsar,382120,22.8175075,73.2556611,Galteshwar Taluka,Gujarat,GJ,India
Dadhana,382120,23.39486,72.071762,Ahmadabad,Gujarat,GJ,India
Dekawada,382120,,,,,,
Detroj,382120,23.336892,72.1870409,Detroj Rampura Taluka,Gujarat,GJ,India
Gamanpura,382120,23.548404,72.268769,Mahesana,Gujarat,GJ,India
Gunjala,382120,23.429537,72.125244,Ahmadabad,Gujarat,GJ,India
Jalisana,382120,23.4003657,72.0150203,Mandal Taluka,Gujarat,GJ,India
Kukvav,382120,23.3498243,72.218513,Detroj Rampura Taluka,Gujarat,GJ,India
Marusana,382120,23.360316,72.192274,Ahmadabad,Gujarat,GJ,India
Nadishala,382120,23.388428,72.1692706,Detroj Rampura Taluka,Gujarat,GJ,India
Odhav,382120,23.02557955,72.6653505,Ahmedabad City Taluka,Gujarat,GJ,India
Rudatal,382120,23.412418,72.161636,Ahmadabad,Gujarat,GJ,India
Sadatpura,382120,23.3390309,72.1280444,Detroj Rampura Taluka,Gujarat,GJ,India
Sangpura,382120,,,,,,
Sinaj,382120,23.439126,72.085235,Ahmadabad,Gujarat,GJ,India
Ughroj,382120,23.363339,72.100865,Ahmadabad,Gujarat,GJ,India
Vinchhan,382120,23.406937,72.045,Ahmadabad,Gujarat,GJ,India
Vithlpura,382120,,,,,,
Zanzarva,382120,,,,,,
Bhankoda,382140,23.2704312,72.128399,Detroj Rampura Taluka,Gujarat,GJ,India
Chhaniar,382140,,,,,,
Ghatisana,382140,23.2923484,72.1894324,Detroj Rampura Taluka,Gujarat,GJ,India
Kanz,382140,23.2960208,72.1590708,Detroj Rampura Taluka,Gujarat,GJ,India
Kointia,382140,,,,,,
Panar,382140,23.2285711,72.157267,Detroj Rampura Taluka,Gujarat,GJ,India
Pandharpura,382140,23.253248,72.199003,Mahesana,Gujarat,GJ,India
Rampura (Ahmedabad),382140,23.2756776,72.1354496,Detroj Rampura Taluka,Gujarat,GJ,India
Sihor,382140,21.722134,71.959724,Bhavnagar,Gujarat,GJ,India
Ukardi,382140,23.333683,72.072816,Ahmadabad,Gujarat,GJ,India
Adval,382460,22.4414936,71.9996417,Dhandhuka Taluka,Gujarat,GJ,India
Bajarda,382460,22.493041,71.97815,Ahmadabad,Gujarat,GJ,India
Chhasiana,382460,,,,,,
