Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
TAMULPUR,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10232,26.67409,91.58165
TAMULPUR,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10232,26.67409,91.58165
TAMULPUR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10232,26.67409,91.58165
TINSUKIA,General,0.17,3.12,1.73,1.94,2.93,2.46,0.0,0.0,0.0,10233,27.53758,95.33346
TINSUKIA,OBC,5.39,6.76,6.08,5.78,9.94,7.85,25.04,30.29,27.5,10233,27.53758,95.33346
TINSUKIA,SC,1.5,0.0,0.0,0.0,2.03,0.2,12.05,19.24,15.47,10233,27.53758,95.33346
TINSUKIA,ST,0.52,0.0,0.0,5.96,6.15,6.06,15.37,17.73,16.57,10233,27.53758,95.33346
TINSUKIA,Overall,4.17,5.24,4.71,4.87,8.05,6.46,18.12,21.55,19.75,10233,27.53758,95.33346
UDALGURI,General,3.03,3.7,3.36,7.75,12.53,9.91,10.79,7.84,9.49,10234,26.73326,92.12559
UDALGURI,OBC,7.61,6.61,7.12,4.05,8.02,6.01,14.49,20.66,17.41,10234,26.73326,92.12559
UDALGURI,SC,9.14,7.14,8.14,7.43,2.48,5.05,5.51,12.24,8.61,10234,26.73326,92.12559
UDALGURI,ST,1.06,1.45,1.26,0.0,0.0,0.0,0.0,4.03,1.5,10234,26.73326,92.12559
UDALGURI,Overall,4.71,4.41,4.56,3.47,5.34,4.37,6.93,10.75,8.72,10234,26.73326,92.12559
WEST KARBI ANGLONG,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10235,22.6004371,88.3176024
WEST KARBI ANGLONG,OBC,5.04,9.05,7.11,6.06,9.42,7.78,44.38,43.04,43.75,10235,22.6004371,88.3176024
WEST KARBI ANGLONG,SC,0.0,0.0,0.0,0.62,8.54,4.53,33.33,35.59,34.38,10235,22.6004371,88.3176024
WEST KARBI ANGLONG,ST,10.01,11.01,10.5,8.73,8.58,8.66,27.32,29.59,28.43,10235,22.6004371,88.3176024
WEST KARBI ANGLONG,Overall,7.72,8.79,8.26,6.27,7.65,6.95,30.06,30.8,30.41,10235,22.6004371,88.3176024
