"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Madhya Pradesh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINDORI,General,0,0,0,3.23,0,0.53,9.53,0,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINDORI,OBC,6.81,6.4,6.59,4.79,5.09,4.95,15.86,18.36,17.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINDORI,SC,1.6,2.95,2.3,5.47,2.13,3.78,6.62,4.46,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINDORI,ST,0,0,0,7.05,7.91,7.48,23.89,29.32,26.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DINDORI,Overall,0,0.66,0.01,6.38,6.78,6.59,20.38,24.39,22.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNA,General,0,0,0,0.05,0.54,0.32,13.46,19.24,16.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNA,OBC,0.62,3.37,2.06,7.89,10.65,9.34,23.23,27.66,25.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNA,SC,2.76,4.83,3.84,13.71,10.46,12.04,34.03,37.81,36.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNA,ST,0.78,2.09,1.47,16.34,13.5,14.81,28.43,42.21,37.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNA,Overall,0.52,2.87,1.74,9.57,10.09,9.85,24.14,30.11,27.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWALIOR,General,0,0,0,1.73,0,0.64,6.32,8.99,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWALIOR,OBC,3.98,3.69,3.82,9.08,7.6,8.27,19.88,16.81,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWALIOR,SC,2.94,3.98,3.5,5.97,7.21,6.65,21.94,22.03,21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWALIOR,ST,6.51,6.48,6.49,24.23,27.57,26.12,40.96,42.23,41.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWALIOR,Overall,2.39,2.1,2.24,7.07,6.12,6.54,16.6,15.91,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDA,General,1.56,0.85,1.19,1.62,1.22,1.41,12.63,20.42,16.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
