"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Rajasthan,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none,,,,,,,,,,,,,,,,,,
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHALAWAR,ST,3.01,2.78,2.89,4.29,3.72,3.99,12.4,12.68,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHALAWAR,Overall,1.03,0.38,0.69,3.13,2.61,2.85,12.29,11.22,11.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHUNJHUNU,General,0,0,0,0,1.82,0.02,4.01,9.76,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHUNJHUNU,OBC,0,0,0,1.57,0,0.64,5.76,2.31,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHUNJHUNU,SC,0.82,0,0.15,0.56,0.58,0.57,5.76,7.77,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHUNJHUNU,ST,0,0,0,0,0,0,4.64,8.15,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHUNJHUNU,Overall,0,0,0,0.66,0.08,0.34,5.48,4.6,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JODHPUR,General,1.98,1.37,1.65,3.41,4.18,3.84,8.12,10.83,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JODHPUR,OBC,2.03,0.88,1.42,3.56,3.09,3.3,7.86,8.24,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JODHPUR,SC,2.5,2.59,2.55,4.1,4.83,4.51,10.25,8.81,9.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JODHPUR,ST,0,0.59,0,2.87,4.99,4.22,17.95,8.95,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JODHPUR,Overall,1.97,1.33,1.63,3.61,3.72,3.67,8.5,8.99,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARAULI,General,1.86,1.94,1.9,0.78,0,0.06,8.19,2.89,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARAULI,OBC,2.75,2.58,2.66,3.03,2.92,2.97,12.8,10.46,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
