"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Maharashtra,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI (SUBURBAN),Overall,19.72,20.49,20.12,15.23,14.91,15.07,50.46,51.52,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGPUR,General,1.03,0.41,0.7,0,0.68,0,2.95,5.35,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGPUR,OBC,0,0.92,0.46,1.1,0.35,0.71,4.41,7.16,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGPUR,SC,2.01,2.36,2.19,2.15,2.4,2.28,7.21,10.59,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGPUR,ST,2.55,2.87,2.71,2.36,1.65,1.99,12.71,17.02,14.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGPUR,Overall,0.82,1.26,1.05,0.83,0.92,0.88,5.46,8.43,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDED,General,1.96,2.62,2.31,4.99,3.82,4.39,15.04,10.5,12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDED,OBC,1.28,0.54,0.89,0,0,0,15.25,12.3,13.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDED,SC,0.71,0,0.31,1.32,1.21,1.26,15.89,13.95,14.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDED,ST,3.09,3.92,3.52,3.52,4.61,4.07,17.31,19.17,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDED,Overall,1.58,1.5,1.54,2.29,1.91,2.09,15.49,12.64,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDURBAR,General,0,0,0,4.4,3.88,4.12,10.26,6.67,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDURBAR,OBC,3.4,2.71,3.03,2.28,0,0.95,11.03,9.13,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDURBAR,SC,5,3.99,4.47,0,5.81,1.7,15.21,15.01,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDURBAR,ST,1.21,1.09,1.15,2.04,1.99,2.02,22.43,22.34,22.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDURBAR,Overall,1.27,1.24,1.25,2.12,1.94,2.03,19.21,18.22,18.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASHIK,General,0,0,0,0,1.35,0.58,12.19,13.63,12.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASHIK,OBC,3.11,3.71,3.44,2.7,1.05,1.81,11.1,11.48,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASHIK,SC,1.92,1.56,1.73,2.9,1.86,2.36,16.6,16.75,16.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASHIK,ST,0.63,0.61,0.62,2.35,2.01,2.17,24.44,23.01,23.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASHIK,Overall,0.65,0.66,0.66,1.73,1.51,1.61,15.84,15.9,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSMANABAD,General,0,0,0,0,0,0,13.13,13.18,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSMANABAD,OBC,2.65,2.68,2.66,4.7,2.58,3.6,23.15,21.98,22.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSMANABAD,SC,0,0,0,0.27,0,0.06,18.52,19.26,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSMANABAD,ST,5.14,4.1,4.61,5.13,2.54,3.76,26.88,21.6,23.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSMANABAD,Overall,0.37,0,0.13,0.19,0,0,17.36,17.06,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALGHAR,General,3.16,2.59,2.86,3.45,2.97,3.18,12.16,9.52,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALGHAR,OBC,1.83,2.26,2.05,0.19,0.81,0.51,10.61,12.13,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALGHAR,SC,0,0,0,0,0,0,5.81,6.67,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALGHAR,ST,2.23,2.04,2.14,7.04,6.02,6.52,22.53,23.41,22.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALGHAR,Overall,2.25,2.12,2.18,4.09,3.53,3.8,15.31,14.42,14.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
