DNo,Location,Social Category,Income,prim_Girls_social_cat,prim_Girls_income,prim_Boys_social_cat,prim_Boys_income,prim_Overall_social_cat,prim_Overall_income,upPrim_Girls_social_cat,upPrim_Girls_income,upPrim_Boys_social_cat,upPrim_Boys_income,upPrim_Overall_social_cat,upPrim_Overall_income,snr_Girls_social_cat,snr_Girls_income,snr_Boys_social_cat,snr_Boys_income,snr_Overall_social_cat,snr_Overall_income
10301,ARARIA,SC,High,2.358458,97.64153,2.358458,97.64153,2.358458,97.64153,2.358458,97.64153,2.358458,97.64153,2.358458,97.64153,2.358458,97.64153,2.358458,97.64153,2.358458,97.64153
10301,ARARIA,ST,High,0.41997004,99.58003,0.41997004,99.58003,0.41997004,99.58003,0.41997004,99.58003,0.41997004,99.58003,0.41997004,99.58003,0.41997004,99.58003,0.41997004,99.58003,0.41997004,99.58003
10301,ARARIA,Overall,High,1.448839,98.55116,1.448839,98.55116,1.448839,98.55116,1.448839,98.55116,1.448839,98.55116,1.448839,98.55116,1.448839,98.55116,1.448839,98.55116,1.448839,98.55116
10302,ARWAL,General,Low,2.9839804,97.016014,2.9839804,97.016014,2.9839804,97.016014,2.9839804,97.016014,2.9839804,97.016014,2.9839804,97.016014,2.9839804,97.016014,2.9839804,97.016014,2.9839804,97.016014
10302,ARWAL,OBC,Low,1.2979914,98.70201,1.2979914,98.70201,1.2979914,98.70201,1.2979914,98.70201,1.2979914,98.70201,1.2979914,98.70201,1.2979914,98.70201,1.2979914,98.70201,1.2979914,98.70201
10302,ARWAL,ST,Low,0.5808589,99.419136,0.5808589,99.419136,0.5808589,99.419136,0.5808589,99.419136,0.5808589,99.419136,0.5808589,99.419136,0.5808589,99.419136,0.5808589,99.419136,0.5808589,99.419136
10302,ARWAL,Overall,Low,7.106352,92.893654,7.106352,92.893654,7.106352,92.893654,7.106352,92.893654,7.106352,92.893654,7.106352,92.893654,7.106352,92.893654,7.106352,92.893654,7.106352,92.893654
10303,AURANGABAD(BIHAR),General,Low,26.066378,73.933624,26.066378,73.933624,26.066378,73.933624,26.066378,73.933624,26.066378,73.933624,26.066378,73.933624,26.066378,73.933624,26.066378,73.933624,26.066378,73.933624
10303,AURANGABAD(BIHAR),OBC,Low,0.021152584,99.97884,0.021152584,99.97884,0.021152584,99.97884,0.021152584,99.97884,0.021152584,99.97884,0.021152584,99.97884,0.021152584,99.97884,0.021152584,99.97884,0.021152584,99.97884
10303,AURANGABAD(BIHAR),SC,Low,2.2379265,97.76208,2.2379265,97.76208,2.2379265,97.76208,2.2379265,97.76208,2.2379265,97.76208,2.2379265,97.76208,2.2379265,97.76208,2.2379265,97.76208,2.2379265,97.76208
10303,AURANGABAD(BIHAR),ST,Low,0.41274166,99.58726,0.41274166,99.58726,0.41274166,99.58726,0.41274166,99.58726,0.41274166,99.58726,0.41274166,99.58726,0.41274166,99.58726,0.41274166,99.58726,0.41274166,99.58726
10303,AURANGABAD(BIHAR),Overall,Low,0.6694087,99.33059,0.6694087,99.33059,0.6694087,99.33059,0.6694087,99.33059,0.6694087,99.33059,0.6694087,99.33059,0.6694087,99.33059,0.6694087,99.33059,0.6694087,99.33059
10304,BANKA,General,High,0.5504902,99.44951,0.5504902,99.44951,0.5504902,99.44951,0.5504902,99.44951,0.5504902,99.44951,0.5504902,99.44951,0.5504902,99.44951,0.5504902,99.44951,0.5504902,99.44951
10304,BANKA,OBC,High,29.146141,70.85386,29.146141,70.85386,29.146141,70.85386,29.146141,70.85386,29.146141,70.85386,29.146141,70.85386,29.146141,70.85386,29.146141,70.85386,29.146141,70.85386
10304,BANKA,SC,High,0.25189936,99.74811,0.25189936,99.74811,0.25189936,99.74811,0.25189936,99.74811,0.25189936,99.74811,0.25189936,99.74811,0.25189936,99.74811,0.25189936,99.74811,0.25189936,99.74811
10304,BANKA,Overall,High,1.6211791,98.37882,1.6211791,98.37882,1.6211791,98.37882,1.6211791,98.37882,1.6211791,98.37882,1.6211791,98.37882,1.6211791,98.37882,1.6211791,98.37882,1.6211791,98.37882
10305,BEGUSARAI,General,High,1.1542596,98.84574,1.1542596,98.84574,1.1542596,98.84574,1.1542596,98.84574,1.1542596,98.84574,1.1542596,98.84574,1.1542596,98.84574,1.1542596,98.84574,1.1542596,98.84574
10305,BEGUSARAI,OBC,High,18.285566,81.71444,18.285566,81.71444,18.285566,81.71444,18.285566,81.71444,18.285566,81.71444,18.285566,81.71444,18.285566,81.71444,18.285566,81.71444,18.285566,81.71444
10305,BEGUSARAI,SC,High,0.101273365,99.89873,0.101273365,99.89873,0.101273365,99.89873,0.101273365,99.89873,0.101273365,99.89873,0.101273365,99.89873,0.101273365,99.89873,0.101273365,99.89873,0.101273365,99.89873
10305,BEGUSARAI,ST,High,26.405993,73.59401,26.405993,73.59401,26.405993,73.59401,26.405993,73.59401,26.405993,73.59401,26.405993,73.59401,26.405993,73.59401,26.405993,73.59401,26.405993,73.59401
10305,BEGUSARAI,Overall,High,0.8048046,99.19519,0.8048046,99.19519,0.8048046,99.19519,0.8048046,99.19519,0.8048046,99.19519,0.8048046,99.19519,0.8048046,99.19519,0.8048046,99.19519,0.8048046,99.19519
10306,BHAGALPUR,General,Low,1.4697424,98.53026,1.4697424,98.53026,1.4697424,98.53026,1.4697424,98.53026,1.4697424,98.53026,1.4697424,98.53026,1.4697424,98.53026,1.4697424,98.53026,1.4697424,98.53026
10306,BHAGALPUR,OBC,Low,2.117973,97.88203,2.117973,97.88203,2.117973,97.88203,2.117973,97.88203,2.117973,97.88203,2.117973,97.88203,2.117973,97.88203,2.117973,97.88203,2.117973,97.88203
10306,BHAGALPUR,SC,Low,0.28426626,99.71574,0.28426626,99.71574,0.28426626,99.71574,0.28426626,99.71574,0.28426626,99.71574,0.28426626,99.71574,0.28426626,99.71574,0.28426626,99.71574,0.28426626,99.71574
10306,BHAGALPUR,ST,Low,3.149083,96.85092,3.149083,96.85092,3.149083,96.85092,3.149083,96.85092,3.149083,96.85092,3.149083,96.85092,3.149083,96.85092,3.149083,96.85092,3.149083,96.85092
10306,BHAGALPUR,Overall,Low,7.0126734,92.98733,7.0126734,92.98733,7.0126734,92.98733,7.0126734,92.98733,7.0126734,92.98733,7.0126734,92.98733,7.0126734,92.98733,7.0126734,92.98733,7.0126734,92.98733
10307,BHOJPUR,General,Low,1.0808972,98.919106,1.0808972,98.919106,1.0808972,98.919106,1.0808972,98.919106,1.0808972,98.919106,1.0808972,98.919106,1.0808972,98.919106,1.0808972,98.919106,1.0808972,98.919106
10307,BHOJPUR,OBC,Low,32.022766,67.977234,32.022766,67.977234,32.022766,67.977234,32.022766,67.977234,32.022766,67.977234,32.022766,67.977234,32.022766,67.977234,32.022766,67.977234,32.022766,67.977234
10307,BHOJPUR,SC,Low,7.56733,92.43267,7.56733,92.43267,7.56733,92.43267,7.56733,92.43267,7.56733,92.43267,7.56733,92.43267,7.56733,92.43267,7.56733,92.43267,7.56733,92.43267
10307,BHOJPUR,Overall,Low,0.15542184,99.84458,0.15542184,99.84458,0.15542184,99.84458,0.15542184,99.84458,0.15542184,99.84458,0.15542184,99.84458,0.15542184,99.84458,0.15542184,99.84458,0.15542184,99.84458
10308,BUXAR,General,High,1.0185542,98.98144,1.0185542,98.98144,1.0185542,98.98144,1.0185542,98.98144,1.0185542,98.98144,1.0185542,98.98144,1.0185542,98.98144,1.0185542,98.98144,1.0185542,98.98144
10308,BUXAR,OBC,High,1.3301896,98.66981,1.3301896,98.66981,1.3301896,98.66981,1.3301896,98.66981,1.3301896,98.66981,1.3301896,98.66981,1.3301896,98.66981,1.3301896,98.66981,1.3301896,98.66981
10308,BUXAR,ST,High,3.9412289,96.05878,3.9412289,96.05878,3.9412289,96.05878,3.9412289,96.05878,3.9412289,96.05878,3.9412289,96.05878,3.9412289,96.05878,3.9412289,96.05878,3.9412289,96.05878
10308,BUXAR,Overall,High,4.167416,95.83258,4.167416,95.83258,4.167416,95.83258,4.167416,95.83258,4.167416,95.83258,4.167416,95.83258,4.167416,95.83258,4.167416,95.83258,4.167416,95.83258
10309,DARBHANGA,General,High,18.45052,81.54948,18.45052,81.54948,18.45052,81.54948,18.45052,81.54948,18.45052,81.54948,18.45052,81.54948,18.45052,81.54948,18.45052,81.54948,18.45052,81.54948
10309,DARBHANGA,OBC,High,0.43344316,99.56656,0.43344316,99.56656,0.43344316,99.56656,0.43344316,99.56656,0.43344316,99.56656,0.43344316,99.56656,0.43344316,99.56656,0.43344316,99.56656,0.43344316,99.56656
10309,DARBHANGA,SC,High,4.3213816,95.67862,4.3213816,95.67862,4.3213816,95.67862,4.3213816,95.67862,4.3213816,95.67862,4.3213816,95.67862,4.3213816,95.67862,4.3213816,95.67862,4.3213816,95.67862
10309,DARBHANGA,ST,High,3.8089514,96.19105,3.8089514,96.19105,3.8089514,96.19105,3.8089514,96.19105,3.8089514,96.19105,3.8089514,96.19105,3.8089514,96.19105,3.8089514,96.19105,3.8089514,96.19105
10309,DARBHANGA,Overall,High,0.08607038,99.91393,0.08607038,99.91393,0.08607038,99.91393,0.08607038,99.91393,0.08607038,99.91393,0.08607038,99.91393,0.08607038,99.91393,0.08607038,99.91393,0.08607038,99.91393
10310,GAYA,General,Low,1.1327968,98.8672,1.1327968,98.8672,1.1327968,98.8672,1.1327968,98.8672,1.1327968,98.8672,1.1327968,98.8672,1.1327968,98.8672,1.1327968,98.8672,1.1327968,98.8672
10310,GAYA,OBC,Low,4.602004,95.397995,4.602004,95.397995,4.602004,95.397995,4.602004,95.397995,4.602004,95.397995,4.602004,95.397995,4.602004,95.397995,4.602004,95.397995,4.602004,95.397995
10310,GAYA,SC,Low,0.8023679,99.19763,0.8023679,99.19763,0.8023679,99.19763,0.8023679,99.19763,0.8023679,99.19763,0.8023679,99.19763,0.8023679,99.19763,0.8023679,99.19763,0.8023679,99.19763
10310,GAYA,ST,Low,0.17404021,99.82596,0.17404021,99.82596,0.17404021,99.82596,0.17404021,99.82596,0.17404021,99.82596,0.17404021,99.82596,0.17404021,99.82596,0.17404021,99.82596,0.17404021,99.82596
10310,GAYA,Overall,Low,1.7767278,98.22327,1.7767278,98.22327,1.7767278,98.22327,1.7767278,98.22327,1.7767278,98.22327,1.7767278,98.22327,1.7767278,98.22327,1.7767278,98.22327,1.7767278,98.22327
10311,GOPALGANJ,General,Low,26.085806,73.914185,26.085806,73.914185,26.085806,73.914185,26.085806,73.914185,26.085806,73.914185,26.085806,73.914185,26.085806,73.914185,26.085806,73.914185,26.085806,73.914185
10311,GOPALGANJ,OBC,Low,3.3780587,96.62194,3.3780587,96.62194,3.3780587,96.62194,3.3780587,96.62194,3.3780587,96.62194,3.3780587,96.62194,3.3780587,96.62194,3.3780587,96.62194,3.3780587,96.62194
10311,GOPALGANJ,SC,Low,0.33844167,99.66156,0.33844167,99.66156,0.33844167,99.66156,0.33844167,99.66156,0.33844167,99.66156,0.33844167,99.66156,0.33844167,99.66156,0.33844167,99.66156,0.33844167,99.66156
10311,GOPALGANJ,ST,Low,40.56823,59.431774,40.56823,59.431774,40.56823,59.431774,40.56823,59.431774,40.56823,59.431774,40.56823,59.431774,40.56823,59.431774,40.56823,59.431774,40.56823,59.431774
10312,JAMUI,General,High,6.33837,93.66163,6.33837,93.66163,6.33837,93.66163,6.33837,93.66163,6.33837,93.66163,6.33837,93.66163,6.33837,93.66163,6.33837,93.66163,6.33837,93.66163
10312,JAMUI,OBC,High,46.215034,53.784966,46.215034,53.784966,46.215034,53.784966,46.215034,53.784966,46.215034,53.784966,46.215034,53.784966,46.215034,53.784966,46.215034,53.784966,46.215034,53.784966
10312,JAMUI,SC,High,0.26394022,99.73605,0.26394022,99.73605,0.26394022,99.73605,0.26394022,99.73605,0.26394022,99.73605,0.26394022,99.73605,0.26394022,99.73605,0.26394022,99.73605,0.26394022,99.73605
10312,JAMUI,ST,High,4.4635544,95.53644,4.4635544,95.53644,4.4635544,95.53644,4.4635544,95.53644,4.4635544,95.53644,4.4635544,95.53644,4.4635544,95.53644,4.4635544,95.53644,4.4635544,95.53644
10312,JAMUI,Overall,High,1.1284609,98.87154,1.1284609,98.87154,1.1284609,98.87154,1.1284609,98.87154,1.1284609,98.87154,1.1284609,98.87154,1.1284609,98.87154,1.1284609,98.87154,1.1284609,98.87154
10313,JEHANABAD,General,High,0.6089765,99.39102,0.6089765,99.39102,0.6089765,99.39102,0.6089765,99.39102,0.6089765,99.39102,0.6089765,99.39102,0.6089765,99.39102,0.6089765,99.39102,0.6089765,99.39102
