DNo,Location,Social Category,Income,dropout,prim_Boys_social_category,prim_Boys_income
12202,CHAMPHAI,ST,Low,0,74.4190126657486,25.580984354019165
12202,CHAMPHAI,Overall,Low,1,21.87555730342865,78.12443971633911
12203,HNAHTHIAL,General,Low,0,77.01365351676941,22.98634648323059
12203,HNAHTHIAL,OBC,Low,0,83.59087258577347,16.40912890434265
12203,HNAHTHIAL,SC,Low,0,78.55978459119797,21.44021987915039
12203,HNAHTHIAL,ST,Low,1,4.159184172749519,95.84081172943115
12203,HNAHTHIAL,Overall,Low,1,49.5063453912735,50.49365162849426
12204,KHAWZAWL,General,Low,0,77.01365351676941,22.98634648323059
12204,KHAWZAWL,OBC,Low,0,83.59087258577347,16.40912890434265
12204,KHAWZAWL,SC,Low,0,78.55978459119797,21.44021987915039
12204,KHAWZAWL,ST,Low,1,26.216357946395874,73.7836480140686
12204,KHAWZAWL,Overall,Low,1,26.745906472206116,73.25409054756165
12205,KOLASIB,General,High,1,2.8754839366311925e-28,100.0
12205,KOLASIB,OBC,High,0,75.98847150802612,24.0115225315094
12205,KOLASIB,SC,High,1,2.7763644061580294e-33,100.0
12205,KOLASIB,ST,High,1,1.6654672101140022,98.33452701568604
12205,KOLASIB,Overall,High,1,0.0011137306501041166,99.99889135360718
12206,LAWNGTLAI,General,High,0,76.72200351953506,23.277997970581055
12206,LAWNGTLAI,OBC,High,0,75.98847150802612,24.0115225315094
12206,LAWNGTLAI,SC,High,0,75.51307380199432,24.486929178237915
12206,LAWNGTLAI,ST,High,1,1.0888844315104507e-05,99.99998807907104
12206,LAWNGTLAI,Overall,High,1,1.269700646844285e-05,99.99998807907104
12207,LUNGLEI,General,Low,0,77.01365351676941,22.98634648323059
12207,LUNGLEI,OBC,Low,0,83.59087258577347,16.40912890434265
12207,LUNGLEI,SC,Low,1,1.2655755862308856e-28,100.0
12207,LUNGLEI,ST,Low,1,0.00020234851945133414,99.99979734420776
12207,LUNGLEI,Overall,Low,1,0.00028088250019209227,99.99971389770508
12208,MAMIT,General,Low,0,77.01365351676941,22.98634648323059
