DNo,Location,Social Category,Income,upPrim_Overall_socialcat,upPrim_Overall_income
10231,SOUTHSALMARA-MANKACHAR,SC,High,0.30751595,99.69248
10231,SOUTHSALMARA-MANKACHAR,Overall,High,0.40713903,99.59286
10232,TAMULPUR,General,High,0.41899168,99.58102
10232,TAMULPUR,OBC,High,0.1682144,99.83179
10232,TAMULPUR,ST,High,0.11898794,99.88102
10232,TAMULPUR,Overall,High,39.51039,60.48962
10233,TINSUKIA,OBC,Low,0.25044364,99.74956
10233,TINSUKIA,SC,Low,0.02126867,99.97873
10233,TINSUKIA,Overall,Low,0.3356285,99.664375
10234,UDALGURI,OBC,High,18.436249,81.56374
10235,WESTKARBIANGLONG,General,High,0.036093157,99.963905
10235,WESTKARBIANGLONG,ST,High,0.74300575,99.256996
10235,WESTKARBIANGLONG,Overall,High,0.3689935,99.631004
10301,ARARIA,General,High,5.275332,94.72467
10301,ARARIA,OBC,High,1.4716316,98.52837
10301,ARARIA,SC,High,0.39269173,99.607315
10301,ARARIA,ST,High,0.52129054,99.47871
10301,ARARIA,Overall,High,0.2585831,99.74141
10302,ARWAL,General,Low,0.2513617,99.748634
10302,ARWAL,OBC,Low,0.1402264,99.85977
10302,ARWAL,SC,Low,2.24618,97.753815
10302,ARWAL,ST,Low,14.601988,85.39802
10303,AURANGABAD(BIHAR),General,Low,2.4728844,97.52712
10303,AURANGABAD(BIHAR),OBC,Low,0.04846063,99.95154
10303,AURANGABAD(BIHAR),ST,Low,0.15692538,99.84306
10303,AURANGABAD(BIHAR),Overall,Low,0.43141657,99.56858
10304,BANKA,General,High,3.4542778,96.54572
10304,BANKA,OBC,High,1.5592399,98.440765
10304,BANKA,SC,High,0.19807978,99.801926
10304,BANKA,ST,High,0.08297743,99.91703
10305,BEGUSARAI,General,High,0.16680427,99.8332
10305,BEGUSARAI,OBC,High,3.4093878,96.590614
10305,BEGUSARAI,SC,High,0.4128818,99.58711
10305,BEGUSARAI,ST,High,0.34140718,99.6586
10305,BEGUSARAI,Overall,High,0.6511055,99.34889
10306,BHAGALPUR,General,Low,0.39539835,99.6046
10306,BHAGALPUR,OBC,Low,0.2165753,99.783424
10306,BHAGALPUR,SC,Low,0.22675358,99.77324
10306,BHAGALPUR,ST,Low,0.18187542,99.81812
10306,BHAGALPUR,Overall,Low,0.57191646,99.428085
10307,BHOJPUR,General,Low,24.440727,75.559265
10307,BHOJPUR,ST,Low,0.46444422,99.53556
10308,BUXAR,General,High,2.8696961,97.1303
10308,BUXAR,OBC,High,2.8078353,97.19216
10309,DARBHANGA,OBC,High,32.29071,67.70929
10309,DARBHANGA,ST,High,1.6240944,98.37591
10309,DARBHANGA,Overall,High,4.142352,95.85764
10310,GAYA,General,Low,0.08152273,99.91848
10310,GAYA,SC,Low,0.5003039,99.49969
10310,GAYA,ST,Low,2.2067466,97.79324
10310,GAYA,Overall,Low,3.80494,96.19505
10311,GOPALGANJ,General,Low,9.912494,90.0875
10311,GOPALGANJ,OBC,Low,1.1497219,98.85028
10311,GOPALGANJ,SC,Low,0.37454298,99.62546
10312,JAMUI,General,High,0.30353537,99.696465
10312,JAMUI,SC,High,0.19924206,99.80076
10312,JAMUI,ST,High,3.1908133,96.80918
10312,JAMUI,Overall,High,0.082784094,99.91722
10313,JEHANABAD,OBC,High,3.6835794,96.316414
10313,JEHANABAD,ST,High,2.0225797,97.97742
10313,JEHANABAD,Overall,High,0.26637778,99.73362
10314,KAIMUR(BHABUA),General,High,0.18447909,99.81552
10314,KAIMUR(BHABUA),OBC,High,0.035436418,99.96456
