DNo,Location,Social Category,Income,upPrim_Girls_socialcat,upPrim_Girls_income
10523,RAIGARH,ST,High,1.1485758,98.851425
10523,RAIGARH,Overall,High,0.6990861,99.30092
10524,RAIPUR,OBC,High,1.0265782,98.97342
10524,RAIPUR,SC,High,1.2479959,98.752
10524,RAIPUR,Overall,High,7.931737,92.06826
10525,RAJNANDGAON,OBC,High,2.8599374,97.14006
10525,RAJNANDGAON,SC,High,2.033678,97.96632
10525,RAJNANDGAON,ST,High,1.2654026,98.7346
10526,SUKMA,General,High,0.29952174,99.70048
10526,SUKMA,OBC,High,8.150255,91.84975
10526,SUKMA,SC,High,0.77605253,99.223946
10526,SUKMA,Overall,High,6.111505,93.88849
10527,SURAJPUR,General,High,6.9549613,93.045044
10527,SURAJPUR,OBC,High,17.58811,82.41189
10527,SURAJPUR,SC,High,1.6768148,98.32319
10527,SURAJPUR,ST,High,1.3172063,98.6828
10528,SURGUJA,General,High,11.006564,88.99343
10528,SURGUJA,SC,High,0.9280394,99.07195
10601,DADRAANDNAGARHAVELI(DIST),General,High,1.4573433,98.542656
10601,DADRAANDNAGARHAVELI(DIST),SC,High,16.05588,83.944115
10601,DADRAANDNAGARHAVELI(DIST),ST,High,0.9719788,99.02802
10601,DADRAANDNAGARHAVELI(DIST),Overall,High,0.6383752,99.361626
10602,DAMAN(DIST),General,High,1.4394778,98.56052
10602,DAMAN(DIST),ST,High,0.5824315,99.417564
10602,DAMAN(DIST),Overall,High,3.596313,96.40368
10603,DIU(DIST),General,High,0.6990434,99.30096
10603,DIU(DIST),OBC,High,1.0543165,98.94569
10603,DIU(DIST),ST,High,1.9976189,98.00238
10603,DIU(DIST),Overall,High,1.1609799,98.83902
10701,Central,SC,High,1.1592185,98.84078
10701,Central,ST,High,0.7393552,99.26064
10702,East,General,High,5.8465896,94.15342
10702,East,OBC,High,0.78135484,99.21864
10702,East,ST,High,8.724936,91.27506
10702,East,Overall,High,0.5710508,99.428955
10703,NewDelhi,General,High,1.0303802,98.96963
10703,NewDelhi,SC,High,1.5753161,98.42468
10703,NewDelhi,Overall,High,1.4556289,98.544365
10704,North,General,High,2.2650452,97.734955
10704,North,OBC,High,0.9124874,99.08751
10704,North,SC,High,3.3002987,96.6997
10704,North,ST,High,0.39602044,99.60397
10704,North,Overall,High,1.3212049,98.678795
10705,NorthEast,General,High,1.0867198,98.913284
10705,NorthEast,OBC,High,1.8300934,98.169914
10705,NorthEast,SC,High,1.0167454,98.98325
10706,NorthWestA,General,High,1.3063627,98.69364
10706,NorthWestA,OBC,High,0.2041352,99.79587
10706,NorthWestA,SC,High,1.0818775,98.91812
10706,NorthWestA,ST,High,24.081097,75.91891
10706,NorthWestA,Overall,High,25.019232,74.98077
10707,NorthWestB,General,High,1.5577452,98.44225
10707,NorthWestB,OBC,High,1.4461282,98.55387
10707,NorthWestB,SC,High,1.3494233,98.65058
10707,NorthWestB,ST,High,0.51983213,99.48016
10707,NorthWestB,Overall,High,1.791753,98.20825
10708,South,General,High,15.310414,84.68958
10708,South,ST,High,2.1861694,97.813835
10709,SouthEast,General,High,16.979534,83.02047
10709,SouthEast,OBC,High,1.7450756,98.25492
10709,SouthEast,ST,High,1.9814959,98.0185
10709,SouthEast,Overall,High,1.6345853,98.36541
10710,SouthWestA,General,High,1.4667121,98.53329
10710,SouthWestA,OBC,High,0.6047158,99.39528
