DNo,Location,Social Category,Income,prim_Boys_socialcat,prim_Boys_income
10218,JORHAT,Overall,High,8.727443,91.27256
10219,KAMRUP-METRO,OBC,High,7.058136,92.941864
10219,KAMRUP-METRO,ST,High,5.9709845,94.02902
10220,KAMRUP-RURAL,General,High,47.60451,52.3955
10220,KAMRUP-RURAL,OBC,High,33.900978,66.099014
10220,KAMRUP-RURAL,SC,High,12.886979,87.11302
10221,KARBIANGLONG,General,High,44.19249,55.807507
10221,KARBIANGLONG,SC,High,2.3374803,97.66252
10221,KARBIANGLONG,ST,High,8.163505,91.836494
10222,KARIMGANJ,General,High,3.0901904,96.909805
10222,KARIMGANJ,SC,High,10.108914,89.89108
10222,KARIMGANJ,ST,High,20.158873,79.84113
10223,KOKRAJHAR,General,High,48.01555,51.98445
10223,KOKRAJHAR,SC,High,10.2364855,89.76352
10223,KOKRAJHAR,ST,High,2.5336604,97.46634
10223,KOKRAJHAR,Overall,High,10.003879,89.996124
10224,LAKHIMPUR,General,Low,3.142904,96.85709
10224,LAKHIMPUR,SC,Low,17.20673,82.79327
10224,LAKHIMPUR,ST,Low,14.635569,85.36443
10224,LAKHIMPUR,Overall,Low,33.956467,66.04353
10225,MAJULI,General,Low,5.9369483,94.06306
10225,MAJULI,SC,Low,3.554886,96.445114
10225,MAJULI,ST,Low,39.102474,60.89753
10225,MAJULI,Overall,Low,3.3422108,96.65779
10226,MORIGAON,General,High,9.626207,90.37379
10226,MORIGAON,OBC,High,3.2021437,96.79786
10226,MORIGAON,SC,High,9.714588,90.28541
10226,MORIGAON,ST,High,4.003552,95.996445
10227,NAGAON,OBC,High,5.561441,94.43856
10227,NAGAON,SC,High,20.535517,79.464485
10227,NAGAON,ST,High,2.6021247,97.39787
10227,NAGAON,Overall,High,8.615531,91.38447
10228,NALBARI,General,High,3.9518209,96.04818
10228,NALBARI,OBC,High,4.4031677,95.59684
10228,NALBARI,SC,High,9.153963,90.84604
10228,NALBARI,Overall,High,2.7309403,97.26906
10229,SIBSAGAR,General,High,31.305658,68.69434
10229,SIBSAGAR,OBC,High,8.244877,91.75512
10229,SIBSAGAR,Overall,High,48.20887,51.79113
10230,SONITPUR,General,High,13.292638,86.70737
10230,SONITPUR,ST,High,31.487564,68.512436
10230,SONITPUR,Overall,High,3.3043969,96.69561
10231,SOUTHSALMARA-MANKACHAR,General,High,40.62211,59.37789
10231,SOUTHSALMARA-MANKACHAR,OBC,High,6.450992,93.549
10231,SOUTHSALMARA-MANKACHAR,SC,High,6.4643846,93.535614
10231,SOUTHSALMARA-MANKACHAR,Overall,High,2.8883836,97.11161
10232,TAMULPUR,General,High,43.518593,56.481407
10232,TAMULPUR,OBC,High,7.023647,92.97635
10232,TAMULPUR,ST,High,3.4436913,96.556305
10233,TINSUKIA,General,Low,5.9195085,94.08049
10233,TINSUKIA,OBC,Low,36.56845,63.43155
10233,TINSUKIA,SC,Low,10.840248,89.15976
10233,TINSUKIA,Overall,Low,19.787884,80.21211
10235,WESTKARBIANGLONG,General,High,17.942822,82.05718
10235,WESTKARBIANGLONG,ST,High,13.896222,86.10378
10235,WESTKARBIANGLONG,Overall,High,5.801001,94.199
10301,ARARIA,OBC,High,49.664715,50.33528
10301,ARARIA,SC,High,9.033082,90.96692
10301,ARARIA,ST,High,5.7780538,94.22195
10301,ARARIA,Overall,High,7.625181,92.37482
10302,ARWAL,General,Low,27.017117,72.98289
10302,ARWAL,OBC,Low,5.909884,94.09012
10302,ARWAL,SC,Low,1.3678203,98.63218
10302,ARWAL,Overall,Low,4.849058,95.15094
10303,AURANGABAD(BIHAR),General,Low,5.489257,94.51074
10303,AURANGABAD(BIHAR),OBC,Low,27.651087,72.348915
10303,AURANGABAD(BIHAR),ST,Low,14.305766,85.69424
10303,AURANGABAD(BIHAR),Overall,Low,31.585184,68.41481
10304,BANKA,General,High,15.784611,84.215385
10304,BANKA,OBC,High,49.562405,50.4376
10304,BANKA,SC,High,43.78208,56.217922
10304,BANKA,ST,High,2.9627113,97.03729
10305,BEGUSARAI,General,High,5.209145,94.790855
10305,BEGUSARAI,OBC,High,2.3582532,97.64174
10305,BEGUSARAI,SC,High,4.878287,95.12171
