DNo,Location,Social Category,Income,prim_Girls_socialcat,prim_Girls_income
10507,BILASPUR,OBC,High,26.406399,73.593605
10507,BILASPUR,OBC,High,1.4167631,98.58324
10507,BILASPUR,SC,High,5.5209994,94.479004
10507,BILASPUR,ST,High,5.042042,94.95796
10507,BILASPUR,Overall,High,1.9708531,98.02915
10508,DANTEWADA,General,High,1.3577378,98.64226
10508,DANTEWADA,SC,High,4.0689216,95.93108
10508,DANTEWADA,ST,High,1.050558,98.94944
10509,DHAMTARI,General,High,10.576652,89.423355
10509,DHAMTARI,SC,High,1.6653033,98.334694
10509,DHAMTARI,ST,High,6.4824886,93.51751
10509,DHAMTARI,Overall,High,1.7420646,98.257935
10510,DURG,OBC,Middle,0.9756492,99.02435
10510,DURG,SC,Middle,39.953846,60.04615
10510,DURG,ST,Middle,1.2306633,98.76934
10511,GARIABAND,ST,Middle,0.8958934,99.10411
10512,GOURELAPENDRAMARVAHI,OBC,Middle,4.2062387,95.79376
10512,GOURELAPENDRAMARVAHI,Overall,Middle,3.0458148,96.954185
10513,JANJGIR-CHAMPA,General,Middle,49.61411,50.385887
10514,JASHPUR,General,High,38.276817,61.723183
10514,JASHPUR,SC,High,4.467924,95.53208
10514,JASHPUR,ST,High,23.4255,76.5745
10515,KANKER,General,High,1.9528161,98.04718
10516,KAWARDHA,OBC,High,1.2028842,98.79711
10516,KAWARDHA,SC,High,1.7481966,98.2518
10517,KONDAGAON,General,High,1.960305,98.039696
10517,KONDAGAON,OBC,High,1.8613055,98.138695
10517,KONDAGAON,SC,High,1.8742133,98.12579
10518,KORBA,SC,High,45.99142,54.00858
10518,KORBA,Overall,High,3.5149906,96.48501
10519,KORIYA,ST,High,3.3719726,96.62804
10519,KORIYA,Overall,High,2.516933,97.48307
10520,MAHASAMUND,SC,High,2.2491384,97.75087
10520,MAHASAMUND,ST,High,38.196747,61.803257
10521,MUNGELI,General,High,2.1373775,97.862625
10521,MUNGELI,ST,High,2.5430892,97.45692
10522,NARAYANPUR,General,High,4.2212477,95.778755
10522,NARAYANPUR,SC,High,1.0912704,98.90874
10523,RAIGARH,General,High,11.236089,88.763916
10523,RAIGARH,SC,High,40.257854,59.742146
10523,RAIGARH,ST,High,3.2662225,96.73378
10523,RAIGARH,ST,High,4.557947,95.44205
10523,RAIGARH,Overall,High,7.4936876,92.50632
10524,RAIPUR,SC,High,46.2869,53.7131
10525,RAJNANDGAON,OBC,High,5.3562574,94.643745
10525,RAJNANDGAON,SC,High,9.328989,90.671005
10525,RAJNANDGAON,ST,High,11.442179,88.55782
10526,SUKMA,General,High,1.4176831,98.58231
10526,SUKMA,SC,High,1.328176,98.67182
10526,SUKMA,ST,High,2.945003,97.05499
10527,SURAJPUR,General,High,46.832584,53.167416
10527,SURAJPUR,OBC,High,3.39818,96.601814
10527,SURAJPUR,Overall,High,2.1488726,97.85113
10528,SURGUJA,General,High,3.0025046,96.99749
10528,SURGUJA,OBC,High,14.433079,85.56692
10528,SURGUJA,SC,High,0.667156,99.33285
10601,DADRAANDNAGARHAVELI(DIST),General,High,41.253933,58.746063
10601,DADRAANDNAGARHAVELI(DIST),SC,High,4.4245315,95.57546
10601,DADRAANDNAGARHAVELI(DIST),ST,High,5.8355036,94.16449
10601,DADRAANDNAGARHAVELI(DIST),Overall,High,0.7798594,99.22013
10602,DAMAN(DIST),ST,High,1.2360957,98.76391
10603,DIU(DIST),General,High,8.072942,91.927055
10603,DIU(DIST),ST,High,2.2381248,97.76187
10603,DIU(DIST),Overall,High,21.826593,78.17341
10701,Central,SC,High,4.9215174,95.07848
10701,Central,ST,High,0.9202959,99.079704
10701,Central,Overall,High,1.0101787,98.98982
10702,East,General,High,8.643721,91.356285
10702,East,OBC,High,5.9177747,94.08222
10702,East,Overall,High,12.602321,87.39768
10703,NewDelhi,General,High,22.810835,77.18916
10703,NewDelhi,SC,High,1.0128969,98.98711
10703,NewDelhi,ST,High,4.4996543,95.50034
10704,North,OBC,High,1.5446808,98.45532
10704,North,SC,High,1.6164191,98.38358
10704,North,ST,High,6.6315203,93.368484
10704,North,Overall,High,3.7338097,96.26619
10705,NorthEast,SC,High,3.2116845,96.788315
10705,NorthEast,Overall,High,2.488243,97.51176
10706,NorthWestA,General,High,2.1330023,97.867
10706,NorthWestA,OBC,High,2.0982754,97.90172
10706,NorthWestA,SC,High,11.408667,88.59133
10706,NorthWestA,Overall,High,21.681244,78.31875
10707,NorthWestB,General,High,3.5705342,96.429474
10707,NorthWestB,OBC,High,1.0227708,98.97723
10707,NorthWestB,ST,High,0.82208675,99.17792
10707,NorthWestB,Overall,High,0.77497375,99.22503
10708,South,General,High,2.025047,97.97495
10708,South,SC,High,3.092896,96.9071
10709,SouthEast,OBC,High,15.065442,84.93456
10709,SouthEast,Overall,High,1.5688703,98.43113
10710,SouthWestA,General,High,1.1139537,98.88604
10710,SouthWestA,OBC,High,0.86544406,99.13457
10710,SouthWestA,ST,High,1.0926656,98.90733
10711,SouthWestB,General,High,20.243395,79.7566
10712,WestA,General,High,1.7810513,98.21895
10712,WestA,ST,High,0.764823,99.23518
10712,WestA,Overall,High,0.7699114,99.23009
10713,WestB,General,High,11.465885,88.53411
10713,WestB,SC,High,1.4006128,98.59939
10713,WestB,ST,High,18.807306,81.19269
10801,NORTHGOA,SC,High,41.2084,58.791595
10802,SOUTHGOA,SC,High,3.0729833,96.92702
10901,AHMEDABAD,General,High,1.947047,98.052956
10901,AHMEDABAD,OBC,High,1.560799,98.4392
10901,AHMEDABAD,ST,High,6.7193074,93.2807
10901,AHMEDABAD,Overall,High,1.1411177,98.85888
10902,AMRELI,ST,High,0.81309134,99.18691
10902,AMRELI,Overall,High,22.019413,77.98058
10903,ANAND,General,High,14.352557,85.64743
10903,ANAND,OBC,High,11.624668,88.375336
10903,ANAND,Overall,High,1.0871166,98.91289
10904,ARAVALLI,Overall,High,3.0160408,96.983955
10906,BHARUCH,General,High,1.2925291,98.70747
10906,BHARUCH,OBC,High,45.0928,54.907196
10906,BHARUCH,SC,High,12.585852,87.414154
10906,BHARUCH,Overall,High,12.469323,87.530685
10907,BHAVNAGAR,Overall,High,4.5197296,95.48027
10908,BOTAD,SC,High,2.0748606,97.92514
10908,BOTAD,ST,High,5.5493746,94.45063
10908,BOTAD,Overall,High,6.975684,93.024315
