DNo,Location,Social Category,Income,dropout,upPrim_Girls_social_category,upPrim_Girls_income
12007,KAKCHING,SC,High,1,0.029271069797687232,99.9707281589508
12007,KAKCHING,ST,High,0,83.93717408180237,16.062825918197632
12007,KAKCHING,Overall,High,1,0.348664540797472,99.65134263038635
12008,KAMJONG,General,High,0,78.3909946680069,21.609002351760864
12008,KAMJONG,OBC,High,0,79.61528301239014,20.38472294807434
12008,KAMJONG,SC,High,0,78.72750461101532,21.27249240875244
12008,KAMJONG,ST,High,1,0.3979564644396305,99.6020495891571
12008,KAMJONG,Overall,High,1,0.4459806252270937,99.5540201663971
12009,KANGPOKPI,General,High,1,0.25195456109941006,99.74804520606995
12009,KANGPOKPI,OBC,High,0,79.61528301239014,20.38472294807434
12009,KANGPOKPI,SC,High,0,78.72750461101532,21.27249240875244
12009,KANGPOKPI,ST,High,1,0.08057572995312512,99.91942048072815
12009,KANGPOKPI,Overall,High,1,0.2595745259895921,99.74042773246765
12010,NONEY,General,High,1,1.0538034203935731e-10,100.0
12010,NONEY,OBC,High,1,2.24263219106291e-08,100.0
12010,NONEY,SC,High,0,78.72750461101532,21.27249240875244
12010,NONEY,ST,High,1,0.02417112118564546,99.97583031654358
12010,NONEY,Overall,High,1,0.044667095062322915,99.95532631874084
12011,PHERZAWL,General,High,0,78.3909946680069,21.609002351760864
12011,PHERZAWL,OBC,High,0,79.61528301239014,20.38472294807434
12011,PHERZAWL,SC,High,0,78.72750461101532,21.27249240875244
12011,PHERZAWL,ST,High,1,0.002802045491989702,99.99719858169556
12011,PHERZAWL,Overall,High,1,0.005280115874484181,99.9947190284729
12012,SENAPATI,General,High,1,0.008983725274447352,99.99101161956787
12012,SENAPATI,OBC,High,0,79.61528301239014,20.38472294807434
12012,SENAPATI,SC,High,0,78.72750461101532,21.27249240875244
12012,SENAPATI,ST,High,1,0.11631454108282924,99.88368153572083
12012,SENAPATI,Overall,High,1,0.2004705835133791,99.7995376586914
12013,TAMENGLONG,General,High,0,78.3909946680069,21.609002351760864
12013,TAMENGLONG,OBC,High,1,1.4178684892840465e-07,100.0
12013,TAMENGLONG,SC,High,0,78.72750461101532,21.27249240875244
12013,TAMENGLONG,ST,High,0,83.93717408180237,16.062825918197632
12013,TAMENGLONG,Overall,High,0,72.57311046123505,27.426892518997192
12014,TENGNOUPAL,General,High,0,78.3909946680069,21.609002351760864
12014,TENGNOUPAL,OBC,High,0,79.61528301239014,20.38472294807434
12014,TENGNOUPAL,SC,High,1,4.6720149970980174e-08,100.0
12014,TENGNOUPAL,ST,High,1,0.20974702201783657,99.7902512550354
12014,TENGNOUPAL,Overall,High,1,0.7162083871662617,99.28379654884338
12015,THOUBAL,General,High,0,78.3909946680069,21.609002351760864
12015,THOUBAL,OBC,High,1,0.053104787366464734,99.9468982219696
12015,THOUBAL,SC,High,1,0.31565199606120586,99.68434572219849
12015,THOUBAL,ST,High,1,0.03302525437902659,99.96697902679443
12015,THOUBAL,Overall,High,1,0.06574771832674742,99.93425011634827
12016,UKHRUL,General,High,1,3.860863628801781e-06,100.0
12016,UKHRUL,OBC,High,1,0.19771773368120193,99.80227947235107
12016,UKHRUL,SC,High,0,78.72750461101532,21.27249240875244
12016,UKHRUL,ST,High,1,0.07561853271909058,99.92438554763794
12016,UKHRUL,Overall,High,1,0.1000265241600573,99.89997744560242
12101,EASTGAROHILLS,General,High,1,0.022554685710929334,99.97745156288147
12101,EASTGAROHILLS,OBC,High,1,0.009004602179629728,99.99099969863892
12101,EASTGAROHILLS,SC,High,1,0.00011301176527922507,99.9998927116394
12101,EASTGAROHILLS,ST,High,1,0.02146413899026811,99.97853636741638
12101,EASTGAROHILLS,Overall,High,1,0.03933835541829467,99.96066689491272
12102,EASTJAINTIAHILLS,General,High,1,0.05239934544079006,99.94760155677795
12102,EASTJAINTIAHILLS,OBC,High,0,79.61528301239014,20.38472294807434
12102,EASTJAINTIAHILLS,SC,High,0,78.72750461101532,21.27249240875244
12102,EASTJAINTIAHILLS,ST,High,1,0.02625938504934311,99.97374415397644
12102,EASTJAINTIAHILLS,Overall,High,1,0.06308032316155732,99.9369204044342
12103,EASTKHASIHILLS,General,High,1,0.02477716188877821,99.97522234916687
12103,EASTKHASIHILLS,OBC,High,1,0.12925091432407498,99.87075328826904
12103,EASTKHASIHILLS,SC,High,1,0.001075731597666163,99.99892711639404
12103,EASTKHASIHILLS,ST,High,1,0.25119674392044544,99.7488021850586
12103,EASTKHASIHILLS,Overall,High,1,0.26516313664615154,99.73483085632324
12104,NORTHGAROHILLS,General,High,1,0.0023765132937114686,99.99762773513794
12104,NORTHGAROHILLS,OBC,High,1,1.1602587380449281e-10,100.0
12104,NORTHGAROHILLS,SC,High,1,4.140651444764151e-12,100.0
12104,NORTHGAROHILLS,ST,High,1,0.06442926242016256,99.93557333946228
12104,NORTHGAROHILLS,Overall,High,1,0.09258708450943232,99.90741014480591
12105,RIBHOI,General,High,1,12.58620172739029,87.41379380226135
12105,RIBHOI,OBC,High,1,0.024766154820099473,99.97523427009583
12105,RIBHOI,SC,High,1,9.43800699815256e-06,99.99998807907104
12105,RIBHOI,ST,High,1,0.06284791161306202,99.9371588230133
12105,RIBHOI,Overall,High,1,0.1071720034815371,99.89282488822937
12106,SOUTHGAROHILLS,General,High,1,0.06116850418038666,99.9388337135315
12106,SOUTHGAROHILLS,OBC,High,0,79.61528301239014,20.38472294807434
12106,SOUTHGAROHILLS,SC,High,1,9.878715900857316e-09,100.0
12106,SOUTHGAROHILLS,ST,High,1,0.024507279158569872,99.97549653053284
12106,SOUTHGAROHILLS,Overall,High,1,0.045664902427233756,99.95433688163757
12107,SOUTHWESTGAROHILLS,General,High,1,0.010006449156207964,99.98999834060669
12107,SOUTHWESTGAROHILLS,OBC,High,0,79.61528301239014,20.38472294807434
