DNo,Location,Social Category,Income,prim_Overall_socialcat,prim_Overall_income
10310,GAYA,ST,Low,9.645321,90.35468
10310,GAYA,Overall,Low,12.045391,87.954605
10311,GOPALGANJ,General,Low,3.3571725,96.64283
10311,GOPALGANJ,OBC,Low,0.2614976,99.738495
10312,JAMUI,General,High,0.022789964,99.97721
10312,JAMUI,OBC,High,22.569258,77.43074
10312,JAMUI,SC,High,0.914049,99.08596
10312,JAMUI,ST,High,0.20559211,99.7944
10312,JAMUI,Overall,High,0.028573386,99.97142
10313,JEHANABAD,OBC,High,45.41388,54.586117
10313,JEHANABAD,ST,High,0.22835745,99.771645
10313,JEHANABAD,Overall,High,6.790466,93.209526
10314,KAIMUR(BHABUA),OBC,High,4.097468,95.902534
10314,KAIMUR(BHABUA),Overall,High,0.7004166,99.29958
10315,KATIHAR,General,High,0.551177,99.44883
10315,KATIHAR,SC,High,0.49043214,99.509575
10316,KHAGARIA,Overall,High,0.2791913,99.7208
10317,KISHANGANJ,General,High,0.67201114,99.32799
10317,KISHANGANJ,OBC,High,1.9072075,98.09279
10317,KISHANGANJ,ST,High,1.0583249,98.94168
10317,KISHANGANJ,Overall,High,1.1419992,98.858
10318,LAKHISARAI,General,High,0.622839,99.37716
10319,MADHEPURA,General,High,0.20090213,99.799095
10319,MADHEPURA,OBC,High,28.23998,71.760025
10319,MADHEPURA,SC,High,0.652254,99.34775
10319,MADHEPURA,ST,High,3.0353358,96.96466
10319,MADHEPURA,Overall,High,0.101042554,99.89895
10320,MADHUBANI,General,High,0.35914314,99.640854
10320,MADHUBANI,SC,High,10.150152,89.849846
10320,MADHUBANI,Overall,High,0.54611725,99.45389
10321,MUNGER,SC,Low,0.08372715,99.91628
10321,MUNGER,Overall,Low,0.02700043,99.97299
10322,MUZAFFARPUR,OBC,High,2.053593,97.9464
10322,MUZAFFARPUR,SC,High,0.19244528,99.80755
10322,MUZAFFARPUR,ST,High,1.5081133,98.49188
10322,MUZAFFARPUR,Overall,High,2.0623739,97.93762
10323,NALANDA,General,Low,1.5429324,98.45707
10323,NALANDA,SC,Low,2.5186498,97.481346
10323,NALANDA,Overall,Low,26.32299,73.67701
10324,NAWADA,Overall,High,38.297127,61.702873
10325,PASHCHIMCHAMPARAN,General,High,1.0601399,98.93986
10325,PASHCHIMCHAMPARAN,OBC,High,0.19248742,99.80751
10325,PASHCHIMCHAMPARAN,SC,High,0.38488,99.61511
10325,PASHCHIMCHAMPARAN,ST,High,32.805668,67.194336
10326,PATNA,General,Low,0.6596243,99.34037
10327,PURBACHAMPARAN,OBC,Low,8.510372,91.489624
10327,PURBACHAMPARAN,SC,Low,25.27969,74.720314
10328,PURNIA,General,High,0.6693269,99.33067
10328,PURNIA,SC,High,0.33464518,99.66536
10328,PURNIA,ST,High,1.3295815,98.670425
10328,PURNIA,Overall,High,19.267786,80.732216
10329,ROHTAS,General,High,0.11153999,99.88846
10329,ROHTAS,OBC,High,13.394997,86.605
10329,ROHTAS,SC,High,34.529327,65.47067
10330,SAHARSA,General,High,1.0118542,98.988144
10330,SAHARSA,OBC,High,1.4190046,98.581
10330,SAHARSA,Overall,High,0.75718284,99.24281
10331,SAMASTIPUR,General,High,0.3651392,99.634865
10331,SAMASTIPUR,SC,High,4.060571,95.93943
10332,SARAN,General,Low,1.1757454,98.82426
10332,SARAN,ST,Low,1.1931224,98.80688
10332,SARAN,Overall,Low,30.913485,69.08652
10333,SHEIKHPURA,General,Low,30.361383,69.63862
10333,SHEIKHPURA,OBC,Low,0.44826698,99.551735
10333,SHEIKHPURA,SC,Low,8.529571,91.47042
10333,SHEIKHPURA,ST,Low,31.054445,68.94555
10333,SHEIKHPURA,Overall,Low,0.52319086,99.476814
10334,SHEOHAR,OBC,High,1.717229,98.28277
10334,SHEOHAR,SC,High,3.5957232,96.40428
10335,SITAMARHI,General,High,4.8925,95.1075
10335,SITAMARHI,SC,High,1.2560897,98.74391
10335,SITAMARHI,ST,High,0.4110142,99.58898
10336,SIWAN,General,High,0.30000126,99.69999
10336,SIWAN,OBC,High,12.267585,87.732414
10336,SIWAN,ST,High,8.783307,91.21669
10336,SIWAN,Overall,High,0.3975212,99.60247
10337,SUPAUL,General,High,0.4142379,99.58576
10337,SUPAUL,OBC,High,1.6560616,98.34394
10337,SUPAUL,SC,High,0.24619927,99.7538
10337,SUPAUL,Overall,High,0.2887904,99.711205
10338,VAISHALI,General,High,8.294037,91.705956
10338,VAISHALI,OBC,High,0.17156808,99.82843
10338,VAISHALI,SC,High,23.700426,76.29957
10338,VAISHALI,ST,High,2.4838223,97.51618
10338,VAISHALI,Overall,High,34.838905,65.161095
10401,CHANDIGARH,ST,High,0.895099,99.1049
10401,CHANDIGARH,Overall,High,42.409786,57.590206
10501,BALOD,General,High,0.409444,99.59055
10501,BALOD,SC,High,28.00391,71.99609
10501,BALOD,ST,High,0.054200187,99.9458
10501,BALOD,Overall,High,2.0548024,97.9452
10502,BALODABAZAR,OBC,High,0.04089546,99.95911
10502,BALODABAZAR,ST,High,0.9750219,99.02498
10502,BALODABAZAR,Overall,High,21.158815,78.841194
10503,BALRAMPUR,General,High,2.570945,97.42906
10503,BALRAMPUR,ST,High,0.5231201,99.47688
10504,BASTER,General,High,0.17154211,99.82845
10504,BASTER,OBC,High,0.64654994,99.353455
10504,BASTER,Overall,High,36.054295,63.945698
10505,BEMETARA,General,High,0.02064528,99.97936
10505,BEMETARA,Overall,High,6.933398,93.0666
10506,BIJAPUR,General,Low,5.513659,94.48634
10506,BIJAPUR,SC,High,0.011375798,99.988625
10506,BIJAPUR,SC,Low,0.15591677,99.84408
10506,BIJAPUR,ST,Low,12.919842,87.08016
10506,BIJAPUR,Overall,High,0.8987162,99.10129
10507,BILASPUR,General,High,9.627151,90.37284
10507,BILASPUR,OBC,High,16.903955,83.09605
10507,BILASPUR,OBC,High,0.0282922,99.9717
10507,BILASPUR,SC,High,4.231636,95.76837
10507,BILASPUR,ST,High,16.57919,83.42081
10507,BILASPUR,ST,High,1.3436526,98.65634
10507,BILASPUR,Overall,High,15.203135,84.79687
10507,BILASPUR,Overall,High,0.8075731,99.19242
10508,DANTEWADA,General,High,0.24968916,99.75031
10508,DANTEWADA,SC,High,0.32273188,99.67727
10508,DANTEWADA,ST,High,0.122669674,99.87733
10509,DHAMTARI,General,High,15.829417,84.170586
10509,DHAMTARI,OBC,High,29.733908,70.26609
10509,DHAMTARI,SC,High,0.76577973,99.234215
10509,DHAMTARI,ST,High,6.1993284,93.80067
10509,DHAMTARI,Overall,High,0.3290769,99.67092
10510,DURG,OBC,Middle,0.19216137,99.80783
10510,DURG,SC,Middle,14.816059,85.183945
10510,DURG,ST,Middle,0.2711628,99.728836
10510,DURG,Overall,Middle,28.980297,71.01971
10511,GARIABAND,OBC,Middle,10.675,89.325
10511,GARIABAND,ST,Middle,0.21858808,99.7814
10512,GOURELAPENDRAMARVAHI,OBC,Middle,0.06379526,99.9362
