DNo,Location,Social Category,Income,dropout,prim_Overall_social_category,prim_Overall_income
10228,NALBARI,ST,High,0,82.5015664100647,17.498433589935303
10228,NALBARI,Overall,High,1,0.0920461374334991,99.90794658660889
10229,SIBSAGAR,General,High,0,84.28528308868408,15.714716911315918
10229,SIBSAGAR,OBC,High,1,0.19892381969839334,99.80108141899109
10229,SIBSAGAR,SC,High,0,84.20865684747696,15.79134464263916
10229,SIBSAGAR,ST,High,0,84.13024693727493,15.869754552841187
10229,SIBSAGAR,Overall,High,0,76.85801237821579,23.14198613166809
10230,SONITPUR,General,High,0,50.484561920166016,49.515438079833984
10230,SONITPUR,OBC,High,0,84.13024693727493,15.869754552841187
10230,SONITPUR,SC,High,0,84.20865684747696,15.79134464263916
10230,SONITPUR,ST,High,0,83.09198915958405,16.908013820648193
10230,SONITPUR,Overall,High,1,0.39742100052535534,99.6025800704956
10231,SOUTHSALMARA-MANKACHAR,General,High,0,84.13024693727493,15.869754552841187
10231,SOUTHSALMARA-MANKACHAR,OBC,High,0,84.28528308868408,15.714716911315918
10231,SOUTHSALMARA-MANKACHAR,SC,High,1,0.24500391446053982,99.75499510765076
10231,SOUTHSALMARA-MANKACHAR,ST,High,0,76.22167617082596,23.77833127975464
10231,SOUTHSALMARA-MANKACHAR,Overall,High,1,0.4341419320553541,99.56586360931396
10232,TAMULPUR,General,High,0,84.28528308868408,15.714716911315918
10232,TAMULPUR,OBC,High,1,2.586870640516281,97.41312861442566
10232,TAMULPUR,SC,High,0,84.28528308868408,15.714716911315918
10232,TAMULPUR,ST,High,1,0.13382311444729567,99.8661756515503
10232,TAMULPUR,Overall,High,0,84.13024693727493,15.869754552841187
10233,TINSUKIA,General,Low,1,0.07994682528078556,99.92005228996277
10233,TINSUKIA,OBC,Low,0,78.39024066925049,21.60975933074951
10233,TINSUKIA,SC,Low,1,4.42052851212793e-05,99.99995231628418
10233,TINSUKIA,ST,Low,0,65.18843173980713,34.81156826019287
10233,TINSUKIA,Overall,Low,0,64.67020511627197,35.32979488372803
10234,UDALGURI,General,High,0,84.28528308868408,15.714716911315918
10234,UDALGURI,OBC,High,0,84.13024693727493,15.869754552841187
10234,UDALGURI,SC,High,0,83.09198915958405,16.908013820648193
10234,UDALGURI,ST,High,0,82.5015664100647,17.498433589935303
10234,UDALGURI,Overall,High,0,78.39024066925049,21.60975933074951
10235,WESTKARBIANGLONG,General,High,1,0.011542674474185333,99.98846054077148
10235,WESTKARBIANGLONG,OBC,High,0,84.28528308868408,15.714716911315918
10235,WESTKARBIANGLONG,SC,High,0,78.39024066925049,21.60975933074951
10235,WESTKARBIANGLONG,ST,High,1,35.70922613143921,64.29077982902527
10235,WESTKARBIANGLONG,Overall,High,1,0.087787548545748,99.91220831871033
10301,ARARIA,General,High,0,83.09198915958405,16.908013820648193
10301,ARARIA,OBC,High,0,78.39024066925049,21.60975933074951
10301,ARARIA,SC,High,1,10.844813287258148,89.15518522262573
10301,ARARIA,ST,High,1,0.08600331493653357,99.91399049758911
10301,ARARIA,Overall,High,1,17.219747602939606,82.78025388717651
10302,ARWAL,General,Low,0,76.33272856473923,23.667269945144653
10302,ARWAL,OBC,Low,1,0.1789045869372785,99.82109069824219
10302,ARWAL,SC,Low,1,0.15851822681725025,99.84147548675537
10302,ARWAL,ST,Low,0,85.73264628648758,14.267361164093018
10302,ARWAL,Overall,Low,1,0.5305343773216009,99.46946501731873
10303,AURANGABAD(BIHAR),General,Low,1,9.052181988954544,90.94781279563904
10303,AURANGABAD(BIHAR),OBC,Low,1,2.276519499719143,97.72347807884216
10303,AURANGABAD(BIHAR),SC,Low,0,84.20865684747696,15.79134464263916
10303,AURANGABAD(BIHAR),ST,Low,1,17.206673324108124,82.79332518577576
10303,AURANGABAD(BIHAR),Overall,Low,0,65.862837433815,34.137165546417236
10304,BANKA,General,High,1,10.41705310344696,89.5829439163208
10304,BANKA,OBC,High,0,70.4139769077301,29.586023092269897
10304,BANKA,SC,High,0,78.39024066925049,21.60975933074951
10304,BANKA,ST,High,1,6.771749383460701e-06,99.99998807907104
10304,BANKA,Overall,High,0,84.20865684747696,15.79134464263916
10305,BEGUSARAI,General,High,1,0.3363492665812373,99.66365098953247
10305,BEGUSARAI,OBC,High,1,0.4666181281208992,99.53338503837585
10305,BEGUSARAI,SC,High,1,0.03215484321117401,99.96784925460815
10305,BEGUSARAI,ST,High,0,84.20865684747696,15.79134464263916
