DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income
13231,GONDA,ST,Low,0,80.59731274843216,19.402682781219482
13231,GONDA,Overall,Low,1,32.390397787094116,67.6095962524414
13232,GORAKHPUR,General,High,0,77.79921293258667,22.200793027877808
13232,GORAKHPUR,OBC,High,0,80.2348867058754,19.765114784240723
13232,GORAKHPUR,SC,High,1,43.26480031013489,56.73519968986511
13232,GORAKHPUR,ST,High,0,66.31610095500946,33.6838960647583
13232,GORAKHPUR,Overall,High,0,73.42084348201752,26.579153537750244
13233,HAMIRPUR(U.P.),General,High,1,0.6677500437945127,99.33225512504578
13233,HAMIRPUR(U.P.),OBC,High,1,9.746026247739792,90.25397896766663
13233,HAMIRPUR(U.P.),SC,High,1,0.5463442299515009,99.45366382598877
13233,HAMIRPUR(U.P.),ST,High,0,77.12338268756866,22.876614332199097
13233,HAMIRPUR(U.P.),Overall,High,1,3.81014421582222,96.18986248970032
13234,HAPUR(PANCHSHEELNAGAR),General,High,0,77.79921293258667,22.200793027877808
13234,HAPUR(PANCHSHEELNAGAR),OBC,High,1,0.007108513091225177,99.99289512634277
13234,HAPUR(PANCHSHEELNAGAR),SC,High,0,63.24553191661835,36.754465103149414
13234,HAPUR(PANCHSHEELNAGAR),ST,High,0,77.12338268756866,22.876614332199097
13234,HAPUR(PANCHSHEELNAGAR),Overall,High,1,0.4262531641870737,99.57374334335327
13235,HARDOI,General,High,0,77.79921293258667,22.200793027877808
13235,HARDOI,OBC,High,1,19.041262567043304,80.95873594284058
13235,HARDOI,SC,High,0,56.890591979026794,43.109411001205444
13235,HARDOI,ST,High,0,77.12338268756866,22.876614332199097
13235,HARDOI,Overall,High,0,55.926501750946045,44.073498249053955
13236,HATHRAS,General,High,1,0.04474529705476016,99.95525479316711
13236,HATHRAS,OBC,High,0,80.23488372564316,19.765114784240723
13236,HATHRAS,SC,High,1,0.3988147247582674,99.60118532180786
13236,HATHRAS,ST,High,0,77.12338268756866,22.876614332199097
13236,HATHRAS,Overall,High,1,4.597513750195503,95.40248513221741
13237,JALAUN,General,High,1,0.12126630172133446,99.87873435020447
13237,JALAUN,OBC,High,0,80.2348867058754,19.765114784240723
13237,JALAUN,SC,High,0,55.58443367481232,44.41555738449097
13237,JALAUN,ST,High,0,77.12338268756866,22.876614332199097
13237,JALAUN,Overall,High,0,73.42084348201752,26.579153537750244
13238,JAUNPUR,General,High,1,2.818269655108452,97.18172550201416
13238,JAUNPUR,OBC,High,1,4.566911607980728,95.43309211730957
13238,JAUNPUR,SC,High,1,0.3925856202840805,99.60741996765137
13238,JAUNPUR,ST,High,0,77.12338268756866,22.876614332199097
13238,JAUNPUR,Overall,High,1,1.6446786001324654,98.35531711578369
13239,JHANSI,General,High,1,0.18570643151178956,99.8142957687378
13239,JHANSI,OBC,High,1,0.4753356799483299,99.52467083930969
13239,JHANSI,SC,High,0,67.64213442802429,32.35786557197571
13239,JHANSI,ST,High,0,77.12338268756866,22.876614332199097
13239,JHANSI,Overall,High,1,2.524714171886444,97.47528433799744
13240,JyotibaPhuleNagar(AMROHA),General,High,0,65.75700342655182,34.24299359321594
13240,JyotibaPhuleNagar(AMROHA),OBC,High,1,0.03526826039887965,99.96472597122192
13240,JyotibaPhuleNagar(AMROHA),SC,High,1,37.31469213962555,62.68530488014221
13240,JyotibaPhuleNagar(AMROHA),ST,High,0,77.12338268756866,22.876614332199097
13240,JyotibaPhuleNagar(AMROHA),Overall,High,1,0.18089052755385637,99.81910586357117
13241,KANNAUJ,General,High,1,1.4145237393677235,98.58548045158386
13241,KANNAUJ,OBC,High,0,80.2348867058754,19.765114784240723
13241,KANNAUJ,SC,High,1,0.0003564268808986526,99.99964237213135
13241,KANNAUJ,ST,High,0,77.12338268756866,22.876614332199097
13241,KANNAUJ,Overall,High,1,47.99976050853729,52.000242471694946
13242,KANPURDEHAT,General,High,0,77.79921293258667,22.200793027877808
13242,KANPURDEHAT,OBC,High,1,28.565549850463867,71.43445611000061
13242,KANPURDEHAT,SC,High,0,78.93815338611603,21.061843633651733
13242,KANPURDEHAT,ST,High,0,77.12337970733643,22.876620292663574
13242,KANPURDEHAT,Overall,High,0,73.42084348201752,26.57915949821472
13243,KANPURNAGAR,General,High,0,77.79921293258667,22.200793027877808
13243,KANPURNAGAR,OBC,High,1,42.1880304813385,57.81197547912598
13243,KANPURNAGAR,SC,High,0,78.93815338611603,21.061843633651733
13243,KANPURNAGAR,ST,High,1,8.877818917905155e-20,100.0
13243,KANPURNAGAR,Overall,High,0,73.42084348201752,26.579153537750244
13244,KANSHIRAMNAGAR,General,High,1,0.01823347993195057,99.98176693916321
13244,KANSHIRAMNAGAR,OBC,High,1,0.2514108316972852,99.7485876083374
13244,KANSHIRAMNAGAR,SC,High,1,0.685680890455842,99.31432008743286
13244,KANSHIRAMNAGAR,ST,High,0,77.12338268756866,22.876614332199097
13244,KANSHIRAMNAGAR,Overall,High,1,0.23114725481718779,99.76885318756104
13245,KAUSHAMBI,General,High,1,0.21090495865792036,99.78910088539124
