DNo,Location,Social Category,Income,snr_Overall_socialcat,snr_Overall_income
10333,SHEIKHPURA,ST,Low,0.06783776,99.93216
10333,SHEIKHPURA,Overall,Low,32.44503,67.55497
10334,SHEOHAR,General,High,0.2600035,99.73999
10334,SHEOHAR,OBC,High,0.2960908,99.70391
10334,SHEOHAR,SC,High,1.5304823,98.46951
10334,SHEOHAR,ST,High,0.19300157,99.80701
10334,SHEOHAR,Overall,High,14.6065235,85.393486
10335,SITAMARHI,General,High,0.060952514,99.93905
10335,SITAMARHI,OBC,High,0.44386047,99.55614
10335,SITAMARHI,SC,High,1.9946488,98.00535
10335,SITAMARHI,ST,High,9.91021,90.08978
10335,SITAMARHI,Overall,High,2.8289077,97.17109
10336,SIWAN,General,High,0.07376991,99.92622
10336,SIWAN,OBC,High,0.34906402,99.65094
10336,SIWAN,SC,High,1.3682423,98.63175
10336,SIWAN,ST,High,0.80539954,99.1946
10336,SIWAN,Overall,High,0.3994262,99.60057
10337,SUPAUL,General,High,1.8443592,98.15564
10337,SUPAUL,OBC,High,1.6324179,98.36758
10337,SUPAUL,SC,High,0.47693658,99.52306
10337,SUPAUL,ST,High,22.580732,77.419266
10337,SUPAUL,Overall,High,2.2806046,97.7194
10338,VAISHALI,General,High,0.549404,99.45059
10338,VAISHALI,OBC,High,0.22905882,99.77094
10338,VAISHALI,SC,High,0.34636506,99.65364
10338,VAISHALI,ST,High,0.8630814,99.13692
10338,VAISHALI,Overall,High,5.1902514,94.809746
10401,CHANDIGARH,General,High,0.2964235,99.703575
10401,CHANDIGARH,OBC,High,0.8849128,99.11508
10401,CHANDIGARH,SC,High,5.954477,94.045525
10401,CHANDIGARH,ST,High,6.8945093,93.10549
10401,CHANDIGARH,Overall,High,0.1387804,99.86121
10501,BALOD,General,High,4.5982313,95.40177
10501,BALOD,OBC,High,19.453188,80.54681
10501,BALOD,SC,High,0.1883559,99.811646
10501,BALOD,ST,High,0.072690934,99.927315
10501,BALOD,Overall,High,0.7500593,99.24994
10502,BALODABAZAR,General,High,0.40222073,99.59778
10502,BALODABAZAR,OBC,High,15.375383,84.62462
10502,BALODABAZAR,SC,High,0.45184988,99.54815
10502,BALODABAZAR,ST,High,6.4934382,93.50655
10502,BALODABAZAR,Overall,High,0.6446437,99.355354
10503,BALRAMPUR,General,High,1.2680641,98.73193
10503,BALRAMPUR,OBC,High,0.33030942,99.66969
10503,BALRAMPUR,SC,High,49.890495,50.109505
10503,BALRAMPUR,ST,High,41.940136,58.059864
10503,BALRAMPUR,Overall,High,0.84392166,99.156075
10504,BASTER,General,High,0.2711663,99.728836
10504,BASTER,OBC,High,0.844617,99.15539
10504,BASTER,SC,High,0.553966,99.44604
10504,BASTER,ST,High,1.6631706,98.33682
10504,BASTER,Overall,High,0.24327245,99.75673
10505,BEMETARA,General,High,1.4693352,98.53066
10505,BEMETARA,OBC,High,0.1081891,99.891815
10505,BEMETARA,SC,High,3.1929514,96.80705
10505,BEMETARA,ST,High,17.818144,82.18186
10505,BEMETARA,Overall,High,1.5138263,98.486176
10506,BIJAPUR,General,High,0.08321909,99.91678
10506,BIJAPUR,OBC,High,0.24197397,99.758026
10506,BIJAPUR,OBC,Low,0.23562507,99.76437
10506,BIJAPUR,SC,High,1.0970981,98.90291
10506,BIJAPUR,SC,Low,0.51438797,99.48561
10506,BIJAPUR,ST,High,5.9730577,94.02694
10506,BIJAPUR,ST,Low,1.8057796,98.19422
