DNo,Location,Social Category,Income,dropout,snr_Overall_social_category,snr_Overall_income
10324,NAWADA,ST,High,0,79.8694297671318,20.130568742752075
10324,NAWADA,Overall,High,1,3.30008864402771,96.69991135597229
10325,PASHCHIMCHAMPARAN,General,High,1,0.0006209809271240374,99.99938011169434
10325,PASHCHIMCHAMPARAN,OBC,High,1,0.05189540679566562,99.94810223579407
10325,PASHCHIMCHAMPARAN,SC,High,0,80.89867830276489,19.101321697235107
10325,PASHCHIMCHAMPARAN,ST,High,0,81.33489042520523,18.66511106491089
10325,PASHCHIMCHAMPARAN,Overall,High,1,1.86543829272523e-05,99.99997615814209
10326,PATNA,General,Low,1,0.022448912204708904,99.97754693031311
10326,PATNA,OBC,Low,1,0.00033905505461007124,99.99966621398926
10326,PATNA,SC,Low,0,80.89867830276489,19.101321697235107
10326,PATNA,ST,Low,1,8.668832265357196e-05,99.99991655349731
10326,PATNA,Overall,Low,0,88.95367830991745,11.04632019996643
10327,PURBACHAMPARAN,General,Low,0,61.363184452056885,38.63680958747864
10327,PURBACHAMPARAN,OBC,Low,1,0.2958192490041256,99.70417618751526
10327,PURBACHAMPARAN,SC,Low,1,0.004595619975589216,99.99539852142334
10327,PURBACHAMPARAN,ST,Low,1,0.44813272543251514,99.5518684387207
10327,PURBACHAMPARAN,Overall,Low,0,80.89867830276489,19.101321697235107
10328,PURNIA,General,High,1,0.06334924837574363,99.93665814399719
10328,PURNIA,OBC,High,0,88.95367830991745,11.04632019996643
10328,PURNIA,SC,High,1,0.020682932517956942,99.97932314872742
10328,PURNIA,ST,High,1,0.21429494954645634,99.78570342063904
10328,PURNIA,Overall,High,1,0.00016912144928937778,99.99983310699463
10329,ROHTAS,General,High,1,0.058058154536411166,99.94194507598877
10329,ROHTAS,OBC,High,1,0.001426615835953271,99.99856948852539
10329,ROHTAS,SC,High,1,0.004210041879559867,99.99579191207886
10329,ROHTAS,ST,High,1,9.164675418560364e-06,99.99998807907104
10329,ROHTAS,Overall,High,1,0.37482527550309896,99.62517619132996
10330,SAHARSA,General,High,1,0.025365457986481488,99.97463822364807
10330,SAHARSA,OBC,High,1,0.014501453551929444,99.98549222946167
10330,SAHARSA,SC,High,1,0.32936418429017067,99.67064261436462
10330,SAHARSA,ST,High,1,1.7516884952783585,98.24831485748291
10330,SAHARSA,Overall,High,1,0.04896824830211699,99.95102882385254
10331,SAMASTIPUR,General,High,1,5.134819680563396e-07,100.0
10331,SAMASTIPUR,OBC,High,0,80.89867830276489,19.101321697235107
10331,SAMASTIPUR,SC,High,1,0.07314605172723532,99.92685914039612
10331,SAMASTIPUR,ST,High,0,79.8694297671318,20.130568742752075
10331,SAMASTIPUR,Overall,High,1,0.00016886503999558045,99.99983310699463
10332,SARAN,General,Low,1,0.005298970791045576,99.99469518661499
10332,SARAN,OBC,Low,0,79.8694297671318,20.130568742752075
10332,SARAN,SC,Low,1,0.0014999665836512577,99.99849796295166
10332,SARAN,ST,Low,1,2.532980936109652e-07,100.0
10332,SARAN,Overall,Low,1,3.6091350352762674e-05,99.99996423721313
10333,SHEIKHPURA,General,Low,1,0.14891282189637423,99.85108971595764
10333,SHEIKHPURA,OBC,Low,1,0.6587665062397718,99.34123158454895
10333,SHEIKHPURA,SC,Low,1,0.023813539883121848,99.97618794441223
10333,SHEIKHPURA,ST,Low,1,0.00012484900935305632,99.99988079071045
10333,SHEIKHPURA,Overall,Low,0,61.363184452056885,38.63680958747864
10334,SHEOHAR,General,High,1,0.003643323725555092,99.99635219573975
10334,SHEOHAR,OBC,High,1,0.007360538438661024,99.99264478683472
10334,SHEOHAR,SC,High,1,0.253778463229537,99.74621534347534
10334,SHEOHAR,ST,High,1,0.0012276495908736251,99.99877214431763
10334,SHEOHAR,Overall,High,1,23.17623198032379,76.82376503944397
10335,SITAMARHI,General,High,1,2.2859816795062216e-05,99.99997615814209
10335,SITAMARHI,OBC,High,1,0.005075766239315271,99.99492168426514
