Jodhpur Char Rasta,380015,23.0371316,72.5290981,"Jay Mataji Fast Food, Himalaya Arcade B, Sargam Marg, Vastrapur, Ahmedabad - 380001, GJ, India",Jay Mataji Fast Food,Himalaya Arcade B,Sargam Marg,380001,,Vastrapur,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anandnagar (Ahmedabad),380007,23.0043253,72.5520748,"Aditya Hospital, Ahmedabad, Ashram Road, Vasna ,Ahmedabad, Ahmedabad - 380007, GJ, India","Aditya Hospital, Ahmedabad",,Ashram Road,380007,,"Vasna ,Ahmedabad",Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.53865,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Asarwa Chakla,380016,23.04498,72.6077,"Asarwa, Ahmadabad, India",,,,,,,Asarwa,Ahmadabad,Gujarat,GJ,India,in,0,,,CC BY 4.0,https://www.geonames.org/datasources/
Polytechnic (Ahmedabad),380015,23.030126,72.536614,"Indian Institute of Management Ahmedabad, Ward 26, Ahmedabad - 380015, GJ, India",,,Indian Institute of Management Ahmedabad,380015,,Ward 26,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Civil Hospital,380016,23.05143835,72.60511614,"Civil Hospital, Jethabhai Parmar Garden Path, Girdharnagar, Ahmedabad - 380016, GJ, India",Civil Hospital,,Jethabhai Parmar Garden Path,380016,,Girdharnagar,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Paldi (Ahmedabad),380007,23.0148606,72.5585554,"9 Aple Web, 5G, 6th Floor, Sumeru Center, Near Suvidha Cross Road, Paldi, Parimal Underbridge, Paldi, Ahmedabad - 380007, GJ, India",9 Aple Web,"5G, 6th Floor, Sumeru Center, Near Suvidha Cross Road, Paldi",Parimal Underbridge,380007,,Paldi,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sarkhej Road,380007,22.9920346,72.50502712,"Sarkhej Roza, Jawaharlal Nehru Road, Makarba, Sarkhej - 380051, GJ, India",Sarkhej Roza,,Jawaharlal Nehru Road,380051,,Makarba,Sarkhej,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.189,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Public Office (Ahmedabad),380016,23.0392128,72.55560118,"Ahmedabad University Office Building, Commerce College Road, Gulbai tekra, Ahmedabad - 380009, GJ, India",Ahmedabad University Office Building,,Commerce College Road,380009,,Gulbai tekra,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.3,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Shardanagar,380007,23.01014405,72.55044653,"Shardanagar Park, Vasna ,Ahmedabad, Ahmedabad - 380001, GJ, India",Shardanagar Park,,,380001,,"Vasna ,Ahmedabad",Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.27,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bapunagar,380024,23.0362408,72.630339,"Sagar Orthopaedic Hospital, Bapunagar, Lal Bahadur Shastri Road, Sahijpur, Ahmedabad - 380024, GJ, India","Sagar Orthopaedic Hospital, Bapunagar",,Lal Bahadur Shastri Road,380024,,Sahijpur,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.729,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Ashram Road,380009,23.0507979,72.572722,"Global WebSoft Pvt Ltd, 603, 6th Floor, Mangal Murti Complex, Opp. City Gold Cinema, Ashram Road, Ahmedabad, Usmanpura, Ahmedabad - 380009, GJ, India",Global WebSoft Pvt Ltd,"603, 6th Floor, Mangal Murti Complex, Opp. City Gold Cinema, Ashram Road, Ahmedabad",Ashram Road,380009,,Usmanpura,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gita Mandir Road,380022,20.8869827,70.4154537,"Gita Mandir, Triveni Smashan Ghat Road, Somnath, Veraval - 362200, GJ, India",Gita Mandir,,Triveni Smashan Ghat Road,362200,,Somnath,Veraval,Patan Veraval Taluka,Gujarat,GJ,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Gujarat University,380009,23.0382693,72.5477803,"Gujarat University Library, Gujarat University Internal Road, Panjrapole, Ahmedabad - 380009, GJ, India",Gujarat University Library,,Gujarat University Internal Road,380009,,Panjrapole,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
