Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
KHARGONE,ST,2.71,2.84,2.78,16.23,15.22,15.71,11.46,18.89,15.45,11827,21.825599,75.614182,21.825599,75.614182
KHARGONE,Overall,2.68,3.26,2.99,11.36,11.74,11.56,10.23,14.33,12.39,11827,21.825599,75.614182,21.825599,75.614182
MANDLA,General,0.0,0.0,0.0,0.0,0.0,0.0,0.58,9.49,5.05,11828,23.94841,79.4235012,23.94841,79.4235012
MANDLA,OBC,0.9,1.21,1.06,2.94,0.62,1.79,6.38,10.18,8.28,11828,23.94841,79.4235012,23.94841,79.4235012
MANDLA,SC,0.0,0.0,0.0,1.92,4.65,3.34,2.15,8.21,5.21,11828,23.94841,79.4235012,23.94841,79.4235012
MANDLA,ST,1.11,2.39,1.76,6.12,5.56,5.83,10.23,14.16,12.2,11828,23.94841,79.4235012,23.94841,79.4235012
MANDLA,Overall,0.28,1.51,0.9,4.64,3.78,4.21,8.28,12.41,10.36,11828,23.94841,79.4235012,23.94841,79.4235012
MANDSAUR,General,2.64,5.55,4.16,5.76,7.68,6.76,3.39,6.23,4.93,11829,24.0682898,75.0742388,24.0682898,75.0742388
MANDSAUR,OBC,2.9,4.76,3.88,8.75,8.09,8.41,10.35,8.38,9.24,11829,24.0682898,75.0742388,24.0682898,75.0742388
MANDSAUR,SC,4.1,4.55,4.33,5.73,6.32,6.05,9.85,9.65,9.74,11829,24.0682898,75.0742388,24.0682898,75.0742388
MANDSAUR,ST,0.0,0.0,0.0,13.75,14.39,14.1,9.76,8.99,9.32,11829,24.0682898,75.0742388,24.0682898,75.0742388
MANDSAUR,Overall,2.87,4.66,3.81,7.8,7.89,7.85,8.94,8.27,8.56,11829,24.0682898,75.0742388,24.0682898,75.0742388
MORENA,General,14.82,15.5,15.19,19.18,15.14,17.02,11.21,15.51,13.78,11830,26.4909914,77.9813656,26.4909914,77.9813656
MORENA,OBC,0.0,0.0,0.0,9.45,3.8,6.46,8.34,9.57,9.12,11830,26.4909914,77.9813656,26.4909914,77.9813656
MORENA,SC,0.0,0.0,0.0,7.07,2.9,4.89,11.3,15.78,14.04,11830,26.4909914,77.9813656,26.4909914,77.9813656
MORENA,ST,0.89,0.0,0.0,2.54,0.0,0.0,10.29,38.35,28.85,11830,26.4909914,77.9813656,26.4909914,77.9813656
MORENA,Overall,0.0,0.0,0.0,11.95,6.99,9.33,10.0,12.93,11.81,11830,26.4909914,77.9813656,26.4909914,77.9813656
NARSIMHAPUR,General,6.09,4.9,5.46,10.07,7.55,8.75,10.99,11.76,11.41,11831,23.8143419,77.5340719,23.8143419,77.5340719
NARSIMHAPUR,OBC,1.29,0.93,1.1,2.77,3.44,3.13,5.79,4.55,5.13,11831,23.8143419,77.5340719,23.8143419,77.5340719
NARSIMHAPUR,SC,0.0,0.0,0.0,1.33,1.85,1.6,9.37,9.97,9.68,11831,23.8143419,77.5340719,23.8143419,77.5340719
NARSIMHAPUR,ST,0.64,1.6,1.13,7.56,10.47,9.03,12.3,13.45,12.88,11831,23.8143419,77.5340719,23.8143419,77.5340719
NARSIMHAPUR,Overall,1.27,1.05,1.15,4.14,4.69,4.43,8.05,7.7,7.87,11831,23.8143419,77.5340719,23.8143419,77.5340719
NEEMUCH,General,2.87,3.48,3.19,5.78,4.78,5.26,7.8,5.66,6.66,11832,23.8143419,77.5340719,23.8143419,77.5340719
NEEMUCH,OBC,5.91,6.0,5.96,8.95,7.99,8.44,10.38,10.05,10.2,11832,23.8143419,77.5340719,23.8143419,77.5340719
NEEMUCH,SC,0.0,4.69,2.3,7.9,6.84,7.36,6.22,10.09,8.29,11832,23.8143419,77.5340719,23.8143419,77.5340719
NEEMUCH,ST,4.98,1.73,3.32,22.18,20.43,21.27,33.62,34.39,34.03,11832,23.8143419,77.5340719,23.8143419,77.5340719
NEEMUCH,Overall,4.5,4.96,4.74,9.66,8.61,9.11,10.41,10.48,10.45,11832,23.8143419,77.5340719,23.8143419,77.5340719
NIWARI,General,86.3,84.42,85.33,84.15,82.58,83.4,80.0,76.76,78.34,11833,24.111258499999998,81.31916701594147,24.111258499999998,81.31916701594147
NIWARI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11833,24.111258499999998,81.31916701594147,24.111258499999998,81.31916701594147
NIWARI,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11833,24.111258499999998,81.31916701594147,24.111258499999998,81.31916701594147
NIWARI,ST,0.0,0.0,0.0,0.0,0.0,0.0,64.75,59.02,61.32,11833,24.111258499999998,81.31916701594147,24.111258499999998,81.31916701594147
NIWARI,Overall,9.17,6.44,7.75,13.34,9.55,11.37,11.57,6.52,8.76,11833,24.111258499999998,81.31916701594147,24.111258499999998,81.31916701594147
PANNA,General,3.54,4.6,4.09,6.64,9.0,7.87,0.72,11.51,6.28,11834,24.3486367,80.601479,24.3486367,80.601479
PANNA,OBC,0.0,0.01,0.0,4.61,5.53,5.09,6.26,6.6,6.43,11834,24.3486367,80.601479,24.3486367,80.601479
PANNA,SC,2.91,4.5,3.74,8.38,11.63,10.08,6.09,11.26,8.8,11834,24.3486367,80.601479,24.3486367,80.601479
PANNA,ST,1.97,2.25,2.12,17.04,20.1,18.66,22.44,30.95,27.36,11834,24.3486367,80.601479,24.3486367,80.601479
PANNA,Overall,1.14,2.25,1.71,8.19,10.35,9.32,6.73,11.34,9.15,11834,24.3486367,80.601479,24.3486367,80.601479
RAISEN,General,4.97,1.46,3.15,10.94,9.05,9.96,5.27,2.2,3.67,11835,23.330111,77.7842511,23.330111,77.7842511
RAISEN,OBC,2.4,2.1,2.25,6.06,4.51,5.26,4.86,5.71,5.3,11835,23.330111,77.7842511,23.330111,77.7842511
RAISEN,SC,3.34,3.27,3.3,11.33,10.46,10.89,12.99,14.63,13.85,11835,23.330111,77.7842511,23.330111,77.7842511
RAISEN,ST,2.47,1.9,2.17,9.37,10.83,10.11,7.85,16.94,12.32,11835,23.330111,77.7842511,23.330111,77.7842511
RAISEN,Overall,3.0,2.19,2.58,8.51,7.59,8.04,6.93,8.47,7.73,11835,23.330111,77.7842511,23.330111,77.7842511
RAJGARH,General,13.9,8.16,10.93,12.95,11.65,12.28,11.8,14.43,13.19,11836,24.0051159,76.733677,24.0051159,76.733677
RAJGARH,OBC,2.85,3.67,3.29,8.78,6.52,7.59,12.51,7.79,9.99,11836,24.0051159,76.733677,24.0051159,76.733677
RAJGARH,SC,4.72,3.6,4.15,10.5,5.79,8.08,15.55,11.47,13.24,11836,24.0051159,76.733677,24.0051159,76.733677
RAJGARH,ST,5.26,3.16,4.17,17.63,9.3,13.27,25.4,21.4,23.28,11836,24.0051159,76.733677,24.0051159,76.733677
RAJGARH,Overall,4.72,4.16,4.43,10.07,7.12,8.53,13.54,10.02,11.64,11836,24.0051159,76.733677,24.0051159,76.733677
RATLAM,General,0.0,2.61,1.24,4.8,5.17,4.98,6.4,5.23,5.78,11837,23.33033,75.04032,23.33033,75.04032
RATLAM,OBC,2.34,4.06,3.23,5.96,7.42,6.71,11.95,11.15,11.52,11837,23.33033,75.04032,23.33033,75.04032
RATLAM,SC,2.66,3.94,3.32,9.8,6.42,8.08,7.2,5.63,6.32,11837,23.33033,75.04032,23.33033,75.04032
RATLAM,ST,4.84,3.65,4.22,12.97,14.31,13.68,17.25,22.29,19.98,11837,23.33033,75.04032,23.33033,75.04032
RATLAM,Overall,3.01,3.68,3.35,8.85,9.51,9.18,11.71,12.35,12.06,11837,23.33033,75.04032,23.33033,75.04032
REWA,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11838,24.5359,81.2934,24.5359,81.2934
REWA,OBC,0.0,0.0,0.0,0.38,0.9,0.65,5.83,4.94,5.37,11838,24.5359,81.2934,24.5359,81.2934
REWA,SC,7.37,10.97,9.27,16.31,17.34,16.85,18.76,23.2,21.03,11838,24.5359,81.2934,24.5359,81.2934
