,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
51,13252,OBC,2,4,1.0,0,4,1.0,4,3,1.0,,,
52,13253,OBC,2,4,1.0,0,4,1.0,4,3,1.0,,,
53,13254,OBC,2,4,1.0,0,4,1.0,4,3,1.0,,,
54,13255,OBC,2,4,1.0,0,4,1.0,4,3,1.0,,,
55,13256,OBC,2,4,1.0,0,4,1.0,4,1,1.0,,,
56,13257,OBC,2,4,1.0,0,4,1.0,4,1,1.0,,,
57,13258,OBC,2,4,1.0,0,4,1.0,4,1,1.0,,,
58,13259,OBC,2,2,1.0,0,2,3.0,4,1,1.0,,,
59,13260,OBC,2,2,1.0,0,2,3.0,1,1,1.0,,,
60,13261,OBC,2,2,1.0,2,4,1.0,1,1,1.0,,,
61,13262,OBC,2,2,1.0,2,2,3.0,1,1,1.0,,,
62,13263,OBC,2,2,1.0,2,2,3.0,1,1,1.0,,,
63,13264,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
64,13265,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
65,13266,OBC,4,2,4.0,2,2,3.0,1,1,1.0,,,
66,13267,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
67,13268,OBC,4,2,4.0,2,2,3.0,1,1,1.0,,,
68,13269,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
69,13270,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
70,13271,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
71,13272,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
72,13273,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
73,13274,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
74,13275,OBC,4,2,4.0,2,2,3.0,1,1,4.0,,,
0,13201,Overall,3,2,,0,3,,4,4,,3.0,4.0,4.0
1,13202,Overall,3,2,,0,3,,4,4,,3.0,4.0,4.0
2,13203,Overall,3,2,,0,3,,4,4,,3.0,4.0,4.0
3,13204,Overall,3,2,,0,3,,4,4,,3.0,4.0,4.0
4,13205,Overall,3,2,,0,3,,4,4,,3.0,4.0,4.0
5,13206,Overall,3,2,,0,3,,4,4,,3.0,4.0,4.0
6,13207,Overall,3,2,,0,3,,4,4,,3.0,4.0,4.0
7,13208,Overall,3,2,,0,3,,2,1,,3.0,4.0,2.0
8,13209,Overall,3,2,,0,3,,4,4,,3.0,4.0,4.0
9,13210,Overall,3,2,,0,3,,2,4,,3.0,4.0,4.0
10,13211,Overall,3,2,,0,3,,2,1,,3.0,4.0,2.0
11,13212,Overall,3,2,,0,3,,2,1,,3.0,4.0,2.0
12,13213,Overall,0,2,,0,3,,2,1,,1.0,4.0,2.0
13,13214,Overall,0,2,,0,4,,2,1,,1.0,1.0,2.0
14,13215,Overall,0,2,,0,3,,2,1,,1.0,1.0,2.0
15,13216,Overall,0,2,,0,4,,2,1,,1.0,1.0,2.0
16,13217,Overall,0,2,,0,4,,2,1,,1.0,1.0,2.0
17,13218,Overall,0,0,,0,4,,2,1,,1.0,1.0,2.0
18,13219,Overall,0,0,,0,4,,2,1,,1.0,1.0,2.0
19,13220,Overall,0,0,,0,4,,2,1,,1.0,1.0,2.0
20,13221,Overall,0,0,,0,4,,2,1,,1.0,1.0,2.0
21,13222,Overall,0,0,,0,4,,2,1,,1.0,1.0,2.0
22,13223,Overall,0,0,,0,4,,2,1,,1.0,1.0,2.0
23,13224,Overall,0,0,,1,1,,0,1,,1.0,2.0,2.0
24,13225,Overall,0,0,,1,4,,0,1,,1.0,2.0,2.0
25,13226,Overall,0,0,,1,4,,0,3,,1.0,2.0,0.0
