Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
RAJSAMAND,SC,1.6,2.23,1.93,2.23,2.97,2.62,5.54,7.61,6.62,12728,25.07274,73.79772,26.8105777,73.7684549
RAJSAMAND,ST,1.3,1.19,1.24,10.17,11.44,10.86,20.74,26.02,23.77,12728,25.07274,73.79772,26.8105777,73.7684549
RAJSAMAND,Overall,1.84,2.06,1.96,4.63,5.22,4.95,9.29,12.76,11.15,12728,25.07274,73.79772,26.8105777,73.7684549
SAWAI MADHOPUR,General,2.69,2.95,2.83,3.96,1.16,2.42,3.29,0.0,0.66,12729,25.97524,76.36595,26.8105777,73.7684549
SAWAI MADHOPUR,OBC,4.25,5.53,4.93,3.7,3.75,3.73,10.01,9.39,9.66,12729,25.97524,76.36595,26.8105777,73.7684549
SAWAI MADHOPUR,SC,3.68,4.37,4.04,3.31,4.13,3.74,9.06,6.47,7.66,12729,25.97524,76.36595,26.8105777,73.7684549
SAWAI MADHOPUR,ST,1.44,1.45,1.45,0.0,0.19,0.0,4.1,1.5,2.68,12729,25.97524,76.36595,26.8105777,73.7684549
SAWAI MADHOPUR,Overall,3.49,4.29,3.91,2.74,2.84,2.79,7.7,5.84,6.67,12729,25.97524,76.36595,26.8105777,73.7684549
SIKAR,General,9.36,9.02,9.17,4.6,2.62,3.52,1.72,0.0,0.0,12730,27.6091864,75.1395503,26.8105777,73.7684549
SIKAR,OBC,3.62,4.78,4.24,2.03,0.91,1.42,0.0,0.0,0.0,12730,27.6091864,75.1395503,26.8105777,73.7684549
SIKAR,SC,2.76,3.6,3.2,1.64,2.76,2.24,2.17,2.09,2.13,12730,27.6091864,75.1395503,26.8105777,73.7684549
SIKAR,ST,0.0,0.0,0.0,0.0,1.68,0.2,0.0,0.0,0.0,12730,27.6091864,75.1395503,26.8105777,73.7684549
SIKAR,Overall,4.1,5.01,4.59,2.22,1.54,1.85,0.09,0.0,0.0,12730,27.6091864,75.1395503,26.8105777,73.7684549
SIROHI,General,1.04,2.11,1.63,0.0,0.08,0.02,9.47,8.33,8.79,12731,24.8858,72.8589,26.8105777,73.7684549
SIROHI,OBC,0.08,0.92,0.53,3.61,1.12,2.26,9.2,9.06,9.11,12731,24.8858,72.8589,26.8105777,73.7684549
SIROHI,SC,0.97,1.42,1.2,4.26,4.01,4.13,9.24,10.14,9.77,12731,24.8858,72.8589,26.8105777,73.7684549
SIROHI,ST,3.61,3.08,3.33,5.41,7.08,6.37,11.11,15.9,13.94,12731,24.8858,72.8589,26.8105777,73.7684549
SIROHI,Overall,1.71,1.98,1.85,3.68,3.28,3.46,9.69,10.7,10.29,12731,24.8858,72.8589,26.8105777,73.7684549
TONK,General,0.0,0.49,0.0,0.35,1.93,1.18,2.68,4.64,3.72,12732,26.12419,75.83607,26.8105777,73.7684549
TONK,OBC,5.02,5.6,5.32,3.18,2.79,2.97,5.67,5.31,5.48,12732,26.12419,75.83607,26.8105777,73.7684549
TONK,SC,1.92,2.84,2.4,2.47,2.86,2.67,5.66,6.39,6.06,12732,26.12419,75.83607,26.8105777,73.7684549
TONK,ST,0.0,0.88,0.0,1.51,1.22,1.36,1.68,1.86,1.78,12732,26.12419,75.83607,26.8105777,73.7684549
TONK,Overall,2.75,3.68,3.24,2.47,2.48,2.48,4.73,4.96,4.86,12732,26.12419,75.83607,26.8105777,73.7684549
UDAIPUR,General,2.47,2.9,2.7,1.22,2.3,1.79,7.26,7.93,7.63,12733,24.4225736,76.4298034,26.8105777,73.7684549
UDAIPUR,OBC,1.15,1.75,1.47,2.63,1.95,2.27,7.02,9.37,8.27,12733,24.4225736,76.4298034,26.8105777,73.7684549
UDAIPUR,SC,1.61,1.92,1.78,0.0,0.57,0.0,3.73,3.16,3.44,12733,24.4225736,76.4298034,26.8105777,73.7684549
UDAIPUR,ST,3.47,3.7,3.59,6.71,8.18,7.49,11.15,15.52,13.43,12733,24.4225736,76.4298034,26.8105777,73.7684549
UDAIPUR,Overall,2.86,3.16,3.02,4.43,5.52,5.01,9.0,11.79,10.47,12733,24.4225736,76.4298034,26.8105777,73.7684549
