DNo,Location,Social Category,Income,fact_socialcat,fact_income
10209,DARRANG,OBC,High,1.170131,98.829865
10209,DARRANG,SC,High,1.6660846e-05,99.999985
10209,DARRANG,ST,High,0.0008767307,99.999115
10209,DARRANG,Overall,High,0.00012924761,99.99987
10210,DHEMAJI,General,High,1.24770345e-08,100.0
10210,DHEMAJI,OBC,High,2.7357637e-05,99.99998
10210,DHEMAJI,SC,High,6.9403664e-05,99.99993
10210,DHEMAJI,ST,High,0.0027169078,99.997284
10210,DHEMAJI,Overall,High,0.0060227667,99.99398
10211,DHUBRI,General,High,46.201714,53.798286
10211,DHUBRI,SC,High,9.3746e-05,99.99991
10211,DHUBRI,ST,High,0.0001192279,99.99988
10211,DHUBRI,Overall,High,1.2838096e-06,100.0
10212,DIBRUGARH,General,High,2.152837e-05,99.99998
10212,DIBRUGARH,ST,High,0.35121208,99.64879
10213,DIMAHASAO,General,High,0.0005538815,99.99945
10213,DIMAHASAO,OBC,High,0.029832259,99.97017
10213,DIMAHASAO,SC,High,0.0020124607,99.997986
10213,DIMAHASAO,ST,High,1.3275282e-05,99.999985
10213,DIMAHASAO,Overall,High,2.0752737e-05,99.99998
10214,GOALPARA,General,High,0.00023079824,99.99977
10214,GOALPARA,OBC,High,0.073984645,99.92601
10214,GOALPARA,SC,High,0.24320889,99.75678
10214,GOALPARA,ST,High,1.1848028e-06,100.0
10214,GOALPARA,Overall,High,0.00012377965,99.99988
10215,GOLAGHAT,OBC,High,5.9871036e-06,99.999985
10215,GOLAGHAT,SC,High,2.315298e-06,100.0
10215,GOLAGHAT,Overall,High,0.00010711604,99.99989
10216,HAILAKANDI,General,High,2.6157274e-09,100.0
10216,HAILAKANDI,ST,High,0.0018619954,99.99814
10216,HAILAKANDI,Overall,High,0.00014097181,99.999855
10217,HOJAI,General,High,0.19456384,99.805435
10217,HOJAI,OBC,High,0.0054390053,99.99457
10217,HOJAI,ST,High,0.10087399,99.89913
10218,JORHAT,General,High,0.00081400265,99.99919
10218,JORHAT,OBC,High,0.00017568245,99.999825
10218,JORHAT,SC,High,0.00028071218,99.99971
10218,JORHAT,ST,High,2.0225482,97.977455
10218,JORHAT,Overall,High,0.0004947462,99.9995
10219,KAMRUP-METRO,General,High,0.0053761243,99.99462
10219,KAMRUP-METRO,OBC,High,0.00012863387,99.99987
10219,KAMRUP-METRO,SC,High,0.012328662,99.98767
10219,KAMRUP-METRO,ST,High,0.05247469,99.94753
10219,KAMRUP-METRO,Overall,High,0.008029156,99.99197
10220,KAMRUP-RURAL,General,High,0.00059101154,99.999405
10220,KAMRUP-RURAL,OBC,High,0.0024206522,99.99758
10220,KAMRUP-RURAL,SC,High,0.00546497,99.99454
10220,KAMRUP-RURAL,ST,High,6.273257e-05,99.99994
10220,KAMRUP-RURAL,Overall,High,9.646816e-06,99.999985
10221,KARBIANGLONG,General,High,0.0009186022,99.999084
10221,KARBIANGLONG,SC,High,7.565938e-05,99.99993
10221,KARBIANGLONG,ST,High,1.2475446e-07,100.0
10221,KARBIANGLONG,Overall,High,0.00026742154,99.99974
10222,KARIMGANJ,General,High,0.0040282407,99.99597
10222,KARIMGANJ,OBC,High,1.8101465e-11,100.0
10222,KARIMGANJ,SC,High,9.241119e-06,99.999985
10222,KARIMGANJ,ST,High,0.00038630224,99.99962
10222,KARIMGANJ,Overall,High,5.0015446e-05,99.999954
10223,KOKRAJHAR,General,High,3.7237434e-05,99.99996
10223,KOKRAJHAR,OBC,High,0.0021280257,99.99786
10223,KOKRAJHAR,SC,High,0.024047773,99.97595
10223,KOKRAJHAR,ST,High,0.002276417,99.99773
10223,KOKRAJHAR,Overall,High,0.009115089,99.99088
10224,LAKHIMPUR,General,Low,0.0006103487,99.99939
10224,LAKHIMPUR,OBC,Low,0.00043365307,99.99957
10224,LAKHIMPUR,SC,Low,0.0023102718,99.99769
10224,LAKHIMPUR,ST,Low,0.00024630275,99.99975
10225,MAJULI,General,Low,0.00020216296,99.999794
10225,MAJULI,OBC,Low,0.00035136583,99.99966
10225,MAJULI,SC,Low,2.6250522,97.37495
10225,MAJULI,ST,Low,3.4542485e-05,99.99996
10225,MAJULI,Overall,Low,6.1011606e-06,99.999985
10226,MORIGAON,General,High,7.273262e-05,99.99993
10226,MORIGAON,OBC,High,1.2327998e-05,99.999985
10226,MORIGAON,SC,High,0.28248927,99.71751
10226,MORIGAON,ST,High,8.9621964e-05,99.99991
10227,NAGAON,General,High,1.9246954e-06,100.0
10227,NAGAON,OBC,High,0.00066504127,99.99933
10227,NAGAON,SC,High,1.0625533e-05,99.999985
10227,NAGAON,ST,High,2.3787715,97.62123
10227,NAGAON,Overall,High,5.6662917e-05,99.99994
10228,NALBARI,OBC,High,0.0018223302,99.99818
10228,NALBARI,ST,High,1.4142668e-05,99.999985
10228,NALBARI,Overall,High,4.5362725e-05,99.999954
10229,SIBSAGAR,General,High,1.0241842,98.975815
10229,SIBSAGAR,OBC,High,0.000116211035,99.99988
10229,SIBSAGAR,SC,High,0.055373468,99.94462
10229,SIBSAGAR,ST,High,0.00057929853,99.99941
10229,SIBSAGAR,Overall,High,0.00011934018,99.99988
10230,SONITPUR,General,High,0.00012481544,99.99988
10230,SONITPUR,OBC,High,0.02356017,99.97644
10230,SONITPUR,ST,High,0.0006903104,99.999306
10230,SONITPUR,Overall,High,0.00047654667,99.99953
10231,SOUTHSALMARA-MANKACHAR,General,High,6.4073414e-05,99.99994
10231,SOUTHSALMARA-MANKACHAR,SC,High,7.155668e-06,99.999985
10231,SOUTHSALMARA-MANKACHAR,ST,High,28.80449,71.19551
10231,SOUTHSALMARA-MANKACHAR,Overall,High,0.00015658494,99.99985
10232,TAMULPUR,General,High,0.00012624901,99.99987
10232,TAMULPUR,OBC,High,0.00048314163,99.99951
10232,TAMULPUR,ST,High,5.1994934e-06,100.0
10233,TINSUKIA,OBC,Low,8.897831e-05,99.999916
10233,TINSUKIA,SC,Low,2.2043326e-12,100.0
10233,TINSUKIA,ST,Low,10.607033,89.39297
10233,TINSUKIA,Overall,Low,0.00016532512,99.99983
10234,UDALGURI,OBC,High,0.00086920644,99.99913
10234,UDALGURI,SC,High,4.6103592e-05,99.999954
10234,UDALGURI,ST,High,0.00020268669,99.999794
10234,UDALGURI,Overall,High,0.0064064646,99.9936
10235,WESTKARBIANGLONG,General,High,5.8430287e-09,100.0
10235,WESTKARBIANGLONG,SC,High,0.00042986576,99.99957
10235,WESTKARBIANGLONG,ST,High,0.00014925573,99.99985
10235,WESTKARBIANGLONG,Overall,High,6.092413e-07,100.0
10301,ARARIA,General,High,0.00048359158,99.99951
10301,ARARIA,OBC,High,0.00044628556,99.99956
10301,ARARIA,SC,High,0.00020964119,99.99979
10301,ARARIA,ST,High,1.0332039e-07,100.0
10301,ARARIA,Overall,High,3.4914283e-05,99.99996
10302,ARWAL,General,Low,0.000117167634,99.99988
10302,ARWAL,OBC,Low,0.00010005971,99.99991
10302,ARWAL,ST,Low,0.00019749341,99.999794
10302,ARWAL,Overall,Low,0.11121517,99.88879
10303,AURANGABAD(BIHAR),General,Low,0.8707811,99.12922
10303,AURANGABAD(BIHAR),OBC,Low,9.020417e-11,100.0
10303,AURANGABAD(BIHAR),SC,Low,0.01288559,99.987114
10303,AURANGABAD(BIHAR),ST,Low,9.2461573e-07,100.0
10303,AURANGABAD(BIHAR),Overall,Low,0.00017777673,99.999825
10304,BANKA,General,High,0.00089854083,99.99911
10304,BANKA,SC,High,1.8581173e-06,100.0
10304,BANKA,Overall,High,0.007953486,99.99205
10305,BEGUSARAI,General,High,2.4894667e-05,99.99998
10305,BEGUSARAI,OBC,High,0.027947564,99.97205
10305,BEGUSARAI,SC,High,1.5752674e-07,100.0
10305,BEGUSARAI,ST,High,20.65339,79.34662
10305,BEGUSARAI,Overall,High,2.6767822e-05,99.99998
10306,BHAGALPUR,General,Low,0.00017813024,99.999825
10306,BHAGALPUR,OBC,Low,2.242968e-06,100.0
10306,BHAGALPUR,SC,Low,9.419591e-06,99.999985
10306,BHAGALPUR,ST,Low,0.1823433,99.81766
10306,BHAGALPUR,Overall,Low,0.0055057816,99.99449
10307,BHOJPUR,General,Low,0.00047316295,99.99953
10307,BHOJPUR,SC,Low,0.5328365,99.46716
10307,BHOJPUR,Overall,Low,0.0002503657,99.99975
10308,BUXAR,General,High,0.00166157,99.998344
10308,BUXAR,OBC,High,5.7498284e-05,99.99994
10308,BUXAR,ST,High,0.0019810381,99.998024
10308,BUXAR,Overall,High,0.00075111515,99.99925
10309,DARBHANGA,General,High,0.0053974064,99.9946
10309,DARBHANGA,OBC,High,0.0023546193,99.99764
10309,DARBHANGA,SC,High,1.1317061,98.86829
10309,DARBHANGA,ST,High,0.0005210501,99.99947
10309,DARBHANGA,Overall,High,4.020656e-05,99.99996
10310,GAYA,General,Low,3.6642976e-07,100.0
10310,GAYA,OBC,Low,0.02404445,99.97596
10310,GAYA,SC,Low,0.00019715448,99.999794
10310,GAYA,ST,Low,1.5548036e-05,99.999985
10310,GAYA,Overall,Low,0.00034359947,99.99966
10311,GOPALGANJ,General,Low,0.5126063,99.4874
10311,GOPALGANJ,OBC,Low,0.00022170813,99.99977
10311,GOPALGANJ,SC,Low,4.152255e-05,99.99996
10311,GOPALGANJ,ST,Low,7.3693514,92.630646
10312,JAMUI,General,High,1.9396453e-05,99.99998
10312,JAMUI,SC,High,4.205066e-07,100.0
10312,JAMUI,ST,High,0.027778482,99.97222
10312,JAMUI,Overall,High,5.139317e-07,100.0
10313,JEHANABAD,General,High,9.690991e-05,99.99991
10313,JEHANABAD,OBC,High,1.4357905e-05,99.999985
10313,JEHANABAD,SC,High,0.013754678,99.986244
10313,JEHANABAD,ST,High,11.796281,88.20372
10313,JEHANABAD,Overall,High,0.0005881249,99.99941
10314,KAIMUR(BHABUA),General,High,1.6861692e-05,99.999985
10314,KAIMUR(BHABUA),OBC,High,1.839381e-08,100.0
10314,KAIMUR(BHABUA),SC,High,1.5846938,98.415306
10314,KAIMUR(BHABUA),ST,High,0.00024684193,99.99975
10314,KAIMUR(BHABUA),Overall,High,2.5354957e-06,100.0
10315,KATIHAR,General,High,7.323822e-05,99.99993
10315,KATIHAR,OBC,High,0.27936912,99.72063
