State,DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income,prim_Boys_social_category,prim_Boys_income,prim_Overall_social_category,prim_Overall_income,upPrim_Girls_social_category,upPrim_Girls_income,upPrim_Boys_social_category,upPrim_Boys_income,upPrim_Overall_social_category,upPrim_Overall_income,snr_Girls_social_category,snr_Girls_income,snr_Boys_social_category,snr_Boys_income,snr_Overall_social_category,snr_Overall_income
ANDHRA PRADESH,10010,SRIKAKULAM,Overall,High,1,5.102228001,94.89777088,0.807984173,99.19201136,1.454772148,98.54522347,9.172899276,90.82710743,21.35302573,78.64698172,18.85108501,81.14891052,1.366039366,98.63395691,86.15782112,13.84217739,16.34833515,83.65166187
ANDHRA PRADESH,10011,VISAKHAPATNAM,General,High,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,59.58504379,40.41495919,77.26988643,22.73010612,80.24390489,19.7560966,0.251856912,99.74814057,0.124286942,99.87571239,0.05981042,99.9401927
ANDHRA PRADESH,10011,VISAKHAPATNAM,OBC,High,0,88.69778812,11.30221486,88.64818886,11.35181189,84.99387652,15.00612497,0.084845949,99.91515875,0.04595448,99.95404482,0.192874577,99.80712533,0.001430278,99.99856949,0.002027641,99.99797344,0.000153538,99.99984503
ANDHRA PRADESH,10011,VISAKHAPATNAM,SC,High,1,0.120701746,99.87930059,0.02588481,99.9741137,0.124797516,99.87519979,0.190335442,99.80966449,0.12522008,99.87478256,0.197464065,99.80254173,73.66082966,26.3391614,0.601285603,99.39870834,21.5648815,78.43512297
ANDHRA PRADESH,10011,VISAKHAPATNAM,ST,High,0,87.81744987,12.18255162,79.20586467,20.79414129,82.50156641,17.49843359,0.009654662,99.99034405,0.03556459,99.96443987,0.041495825,99.95850921,0.003361564,99.9966383,0.004064129,99.99593496,7.98E-05,99.99991655
ANDHRA PRADESH,10011,VISAKHAPATNAM,Overall,High,0,87.81744987,12.18255162,79.20586467,20.79414129,82.50156641,17.49843359,74.06021953,25.93978047,77.45562643,22.54437804,80.99277169,19.00722384,70.68471014,29.31529284,88.78800124,11.21199727,81.33489043,18.66511106
ANDHRA PRADESH,10012,VIZIANAGARAM,General,High,1,8.695680648,91.3043201,1.36321811,98.63678813,2.648950927,97.35104442,0.021451537,99.97854829,0.024379403,99.97561574,0.051644648,99.94834661,0.000269876,99.99972582,7.87E-05,99.99991655,9.16E-07,100
ANDHRA PRADESH,10012,VIZIANAGARAM,OBC,High,0,87.30406612,12.69593239,82.74552375,17.25447774,84.28528309,15.71471691,78.99610847,21.00389004,81.72736466,18.27263236,87.09792495,12.90208101,86.46310419,13.53689432,0.001146135,99.99885559,0.533910654,99.46609139
ANDHRA PRADESH,10012,VIZIANAGARAM,SC,High,1,16.39947295,83.60052705,79.20586467,20.79414129,60.12650728,39.87349868,72.11472988,27.88527012,37.60146499,62.39853501,64.25848901,35.74150801,0.368287019,99.63171482,0.712165143,99.28783774,0.206419663,99.79357719
ANDHRA PRADESH,10012,VIZIANAGARAM,ST,High,0,85.04921645,14.95078802,81.66470081,18.33530068,78.71292531,21.28707767,57.45631158,42.5436914,64.78815079,35.21184921,70.59009969,29.40990329,1.038146298,98.96184802,36.74547672,63.25451732,4.959603772,95.04039884
ANDHRA PRADESH,10012,VIZIANAGARAM,Overall,High,0,87.33655661,12.6634419,86.4662692,13.53372931,85.73264629,14.26736116,65.99822044,34.0017736,78.96629274,21.03371024,79.31895256,20.68104744,0.294824759,99.70517159,0.166752422,99.83324409,0.162683881,99.83731508
ANDHRA PRADESH,10013,WESTGODAVARI,General,High,1,31.28065765,68.71935129,82.84777403,17.15222597,83.09198916,16.90801382,0.235788105,99.76420999,0.146982924,99.85301495,0.277481833,99.72251654,0.122934266,99.87706542,0.064235821,99.93576407,0.076783774,99.9232173
ANDHRA PRADESH,10013,WESTGODAVARI,OBC,High,1,16.26043618,83.73956084,0.642311666,99.35769439,0.837558415,99.16244149,0.016106101,99.98389482,13.20416331,86.79583073,0.287824287,99.71217513,6.34E-05,99.9999404,0.011921794,99.98807907,3.36E-05,99.99996424
ANDHRA PRADESH,10013,WESTGODAVARI,SC,High,0,83.42006654,16.57993197,82.8477785,17.15222001,83.09198916,16.90801382,66.86080992,33.1391871,71.5793848,28.42062116,76.78606659,23.21392894,1.022440754,98.97755384,0.273283012,99.72672462,0.605756557,99.39424396
ANDHRA PRADESH,10013,WESTGODAVARI,ST,High,0,80.54614812,19.45384741,5.600394309,94.39960718,27.3932904,72.60671258,0.174655649,99.82534051,0.071171648,99.92882609,0.112728251,99.88726974,0.36459039,99.63541031,0.363781839,99.63621497,0.124348223,99.87565279
ANDHRA PRADESH,10013,WESTGODAVARI,Overall,High,1,3.131737188,96.86827064,1.329063438,98.67092967,1.291474607,98.70852828,37.52619326,62.47380972,0.164382963,99.83561635,5.921049044,94.07895207,0.754620275,99.24538732,0.179536955,99.82045889,0.173222797,99.82677698
ARUNACHALPRADESH,10101,ArunachalPradesh,General,High,1,0.236588763,99.76340532,0.030398232,99.96960163,0.258787861,99.74121451,0.027691748,99.97230172,0.037360165,99.96263981,0.053516758,99.94648099,0.018180185,99.98182654,0.006228164,99.99377728,0.000537502,99.99946356
ARUNACHALPRADESH,10101,ArunachalPradesh,SC,High,0,87.30406612,12.69593239,82.74552375,17.25447774,84.28528309,15.71471691,78.99610847,21.00389004,81.72736466,18.27263236,87.09792495,12.90208101,86.46310419,13.53689432,94.86644566,5.13355732,88.95367831,11.0463202
